"t[,1]","t[,2]","t[,3]","t[,4]","t[,5]","t[,6]","r[,1]","r[,2]","r[,3]","r[,4]","r[,5]","r[,6]","n[,1]","n[,2]","n[,3]","n[,4]","n[,5]","n[,6]"
1,3,NA,NA,NA,NA,8,1,NA,NA,NA,NA,8550,17662,NA,NA,NA,NA
1,5,NA,NA,NA,NA,4709,571,NA,NA,NA,NA,133994,7166,NA,NA,NA,NA
1,5,NA,NA,NA,NA,2145,509,NA,NA,NA,NA,10586,3631,NA,NA,NA,NA
1,5,NA,NA,NA,NA,803,227,NA,NA,NA,NA,2024,785,NA,NA,NA,NA
1,2,NA,NA,NA,NA,3277,33,NA,NA,NA,NA,65742,430,NA,NA,NA,NA
1,2,NA,NA,NA,NA,1255,29,NA,NA,NA,NA,5095,210,NA,NA,NA,NA
1,2,NA,NA,NA,NA,426,14,NA,NA,NA,NA,919,61,NA,NA,NA,NA
1,5,NA,NA,NA,NA,92,1,NA,NA,NA,NA,2290189,27274,NA,NA,NA,NA
1,2,7,NA,NA,NA,13910,172,14,NA,NA,NA,1315744,113490,27163,NA,NA,NA
2,7,NA,NA,NA,NA,179,12,NA,NA,NA,NA,80925,80925,NA,NA,NA,NA
1,2,NA,NA,NA,NA,182,13,NA,NA,NA,NA,352878,352878,NA,NA,NA,NA
1,2,3,4,5,6,3278,176,185,220,691,126,14348,1658,1599,2539,9099,997
1,5,NA,NA,NA,NA,309,2,NA,NA,NA,NA,4859,54,NA,NA,NA,NA
1,2,NA,NA,NA,NA,309,5,NA,NA,NA,NA,4859,273,NA,NA,NA,NA
1,2,5,NA,NA,NA,5231,185,1279,NA,NA,NA,53371,5200,16918,NA,NA,NA
1,2,NA,NA,NA,NA,106,81,NA,NA,NA,NA,334,2350,NA,NA,NA,NA
1,2,NA,NA,NA,NA,106,708,NA,NA,NA,NA,334,2977,NA,NA,NA,NA
1,2,NA,NA,NA,NA,106,203,NA,NA,NA,NA,334,2472,NA,NA,NA,NA
1,2,NA,NA,NA,NA,106,37,NA,NA,NA,NA,334,1652,NA,NA,NA,NA
1,2,NA,NA,NA,NA,106,368,NA,NA,NA,NA,334,1983,NA,NA,NA,NA
1,2,NA,NA,NA,NA,106,84,NA,NA,NA,NA,334,1699,NA,NA,NA,NA
1,2,NA,NA,NA,NA,106,1,NA,NA,NA,NA,334,25,NA,NA,NA,NA
1,2,NA,NA,NA,NA,106,4,NA,NA,NA,NA,334,28,NA,NA,NA,NA
1,2,NA,NA,NA,NA,106,4,NA,NA,NA,NA,334,28,NA,NA,NA,NA
1,2,NA,NA,NA,NA,953,119,NA,NA,NA,NA,1798,1012,NA,NA,NA,NA
1,2,NA,NA,NA,NA,953,59,NA,NA,NA,NA,1798,506,NA,NA,NA,NA
1,2,NA,NA,NA,NA,2871,679,NA,NA,NA,NA,3994,2272,NA,NA,NA,NA
1,7,NA,NA,NA,NA,2871,61,NA,NA,NA,NA,3991,394,NA,NA,NA,NA
1,2,NA,NA,NA,NA,268,211,NA,NA,NA,NA,357,369,NA,NA,NA,NA
1,7,NA,NA,NA,NA,268,80,NA,NA,NA,NA,357,215,NA,NA,NA,NA
1,2,NA,NA,NA,NA,139,17,NA,NA,NA,NA,351,444,NA,NA,NA,NA
1,5,NA,NA,NA,NA,32,1,NA,NA,NA,NA,244,428,NA,NA,NA,NA
1,5,NA,NA,NA,NA,255,4,NA,NA,NA,NA,189833,36751,NA,NA,NA,NA
1,5,NA,NA,NA,NA,255,22,NA,NA,NA,NA,34338,33945,NA,NA,NA,NA
1,5,4,NA,NA,NA,547,127,42,NA,NA,NA,40616,20479,6979,NA,NA,NA
1,2,7,NA,NA,NA,14272,2563,209,NA,NA,NA,37400,26190,8092,NA,NA,NA
1,2,7,NA,NA,NA,174,86,24,NA,NA,NA,460,488,514,NA,NA,NA
2,7,NA,NA,NA,NA,74,21,NA,NA,NA,NA,236693,236693,NA,NA,NA,NA
2,7,NA,NA,NA,NA,27,2,NA,NA,NA,NA,158993,158993,NA,NA,NA,NA
