author,studyID,treatment,responders,sampleSize,age,child,young,adult,elder,(female=1),ethnic(asian),asian,middle-east,hispanic,white,black,condition(not-at-risk),not-at-risk,chronic-dis,immuno,variant(wildtype),alpha,beta,gamma,delta,omicron,subgroup,ROB(low),moderate,critical,outcome,vac_product,study.type,study
"Abu Raddad, 2021",1,unvaccinated,17215,34047,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,alpha,1,0,0,0,0,,NA,NA,NA,doc-infect,UNVAC,CC,"Abu Raddad, 2021-1"
"Abu Raddad, 2021",2,unvaccinated,19787,39188,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,beta,0,1,0,0,0,,NA,NA,NA,doc-infect,UNVAC,CC,"Abu Raddad, 2021-2"
"Andrews, 2021",9,unvaccinated,1366,112658,18-49yr,0,0,1,0,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,subgroup,NA,NA,NA,hosp,UNVAC,CC,"Andrews, 2021-9"
"Andrews, 2021",10,unvaccinated,719,9812,>=50yr,0,0,0,1,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,subgroup,NA,NA,NA,hosp,UNVAC,CC,"Andrews, 2021-10"
"Andrews, 2021",11,unvaccinated,107,7577,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,overall,NA,NA,NA,death,UNVAC,CC,"Andrews, 2021-11"
"Andrews, 2022",12,unvaccinated,36369,143607,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,delta,0,0,0,1,0,subgroup,NA,NA,NA,symp,UNVAC,CC,"Andrews, 2022-12"
"Andrews, 2022",13,unvaccinated,101109,208347,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,omicron,0,0,0,0,1,subgroup,NA,NA,NA,symp,UNVAC,CC,"Andrews, 2022-13"
"Andrews, 2022",14,unvaccinated,137478,244716,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,symp,UNVAC,CC,"Andrews, 2022-14"
"Bjork, 2022",36,unvaccinated,4155,1414660,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,doc-infect,UNVAC,RC,"Bjork, 2022-36"
"Bruxvoort, 2021a",37,unvaccinated,235,810,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,alpha,1,0,0,0,0,,NA,NA,NA,doc-infect,UNVAC,CC,"Bruxvoort, 2021a-37"
