"author","studyID","treatment","responders","sampleSize","age","child","young","adult","elder","X.female.1.","ethnic.asian.","asian","middle.east","hispanic","white","black","condition.not.at.risk.","not.at.risk","chronic.dis","immuno","variant.wildtype.","alpha","beta","gamma","delta","omicron","platform","subgroup","ROB.low.","moderate","critical","outcome","study.type","study"
"Andrews, 2021",11,1,107,7577,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"unvaccinated","overall",NA,NA,NA,"death","CC","Andrews, 2021-11"
"Bruxvoort, 2021a",44,1,30,4859,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"unvaccinated","",NA,NA,NA,"death","CC","Bruxvoort, 2021a-44"
"Bruxvoort, 2021a",52,1,30,4859,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"unvaccinated","",NA,NA,NA,"death","CC","Bruxvoort, 2021a-52"
"Bruxvoort, 2021b",55,1,25,352878,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"unvaccinated","overall",NA,NA,NA,"death","PC","Bruxvoort, 2021b-55"
"Glatman-Freedman, 2021b",153,1,819,133994,">=16",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"unvaccinated","",NA,NA,NA,"death","RC","Glatman-Freedman, 2021b-153"
"Glatman-Freedman, 2021b",154,1,721,10586,">=60","0","0","0","1","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"unvaccinated","",NA,NA,NA,"death","RC","Glatman-Freedman, 2021b-154"
"Glatman-Freedman, 2021b",155,1,394,2024,">=80","0","0","0","1","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"unvaccinated","",NA,NA,NA,"death","RC","Glatman-Freedman, 2021b-155"
"Glatman-Freedman, 2021b",156,1,440,65742,">=16",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"unvaccinated","",NA,NA,NA,"death","RC","Glatman-Freedman, 2021b-156"
"Glatman-Freedman, 2021b",157,1,370,5114,">=60","0","0","0","1","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"unvaccinated","",NA,NA,NA,"death","RC","Glatman-Freedman, 2021b-157"
"Glatman-Freedman, 2021b",158,1,191,919,">=80","0","0","0","1","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"unvaccinated","",NA,NA,NA,"death","RC","Glatman-Freedman, 2021b-158"
