"author","studyID","treatment","responders","sampleSize","age","child","young","adult","elder","X.female.1.","ethnic.asian.","asian","middle.east","hispanic","white","black","condition.not.at.risk.","not.at.risk","chronic.dis","immuno","variant.wildtype.","alpha","beta","gamma","delta","omicron","platform","subgroup","ROB.low.","moderate","critical","outcome","study.type","study"
"Bruxvoort, 2021a",43,1,309,4859,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","delta","0","0","0","1","0","unvaccinated","",NA,NA,NA,"hosp","CC","Bruxvoort, 2021a-43"
"Bruxvoort, 2021a",51,1,309,4859,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"unvaccinated","",NA,NA,NA,"hosp","CC","Bruxvoort, 2021a-51"
"Bruxvoort, 2021b",54,1,182,352878,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"unvaccinated","overall",NA,NA,NA,"hosp","PC","Bruxvoort, 2021b-54"
"Collie, 2022",89,1,5231,53371,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","omicron","0","0","0","0","1","unvaccinated","",NA,NA,NA,"hosp","CC","Collie, 2022-89"
"Glatman-Freedman, 2021b",141,1,4709,133994,">=16",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"unvaccinated","",NA,NA,NA,"hosp","RC","Glatman-Freedman, 2021b-141"
"Glatman-Freedman, 2021b",142,1,2145,10586,">=60","0","0","0","1","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"unvaccinated","",NA,NA,NA,"hosp","RC","Glatman-Freedman, 2021b-142"
"Glatman-Freedman, 2021b",143,1,803,2024,">=80","0","0","0","1","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"unvaccinated","",NA,NA,NA,"hosp","RC","Glatman-Freedman, 2021b-143"
"Glatman-Freedman, 2021b",144,1,3277,65742,">=16",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"unvaccinated","",NA,NA,NA,"hosp","RC","Glatman-Freedman, 2021b-144"
"Glatman-Freedman, 2021b",145,1,1255,5095,">=60","0","0","0","1","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"unvaccinated","",NA,NA,NA,"hosp","RC","Glatman-Freedman, 2021b-145"
"Glatman-Freedman, 2021b",146,1,426,919,">=80","0","0","0","1","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"unvaccinated","",NA,NA,NA,"hosp","RC","Glatman-Freedman, 2021b-146"
