"author","studyID","treatment","responders","sampleSize","age","child","young","adult","elder","X.female.1.","ethnic.asian.","asian","middle.east","hispanic","white","black","condition.not.at.risk.","not.at.risk","chronic.dis","immuno","variant.wildtype.","alpha","beta","gamma","delta","omicron","platform","subgroup","ROB.low.","moderate","critical","outcome","study.type","study"
"Glatman-Freedman, 2021b",147,1,2635,133994,">=16",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"unvaccinated","",NA,NA,NA,"severe","RC","Glatman-Freedman, 2021b-147"
"Glatman-Freedman, 2021b",148,1,1590,10586,">=60","0","0","0","1","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"unvaccinated","",NA,NA,NA,"severe","RC","Glatman-Freedman, 2021b-148"
"Glatman-Freedman, 2021b",149,1,627,2024,">=80","0","0","0","1","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"unvaccinated","",NA,NA,NA,"severe","RC","Glatman-Freedman, 2021b-149"
"Glatman-Freedman, 2021b",150,1,1880,65742,">=16",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"unvaccinated","",NA,NA,NA,"severe","RC","Glatman-Freedman, 2021b-150"
"Glatman-Freedman, 2021b",151,1,963,5095,">=60","0","0","0","1","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"unvaccinated","",NA,NA,NA,"severe","RC","Glatman-Freedman, 2021b-151"
"Glatman-Freedman, 2021b",152,1,333,919,">=80","0","0","0","1","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"unvaccinated","",NA,NA,NA,"severe","RC","Glatman-Freedman, 2021b-152"
"Olson, 2022",236,1,139,351,"12-18yr","0","1","0","0","all","US",0,0,0,1,0,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"unvaccinated","",NA,NA,NA,"severe","CC","Olson, 2022-236"
"Cerqueira-Silva, 2021",362,1,1011,6107,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"unvaccinated","",NA,NA,NA,"severe","CC","Cerqueira-Silva, 2021-362"
"Al, 2021",4,2,2,12737,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"unvaccinated","",NA,NA,NA,"severe","RCT","Al, 2021-4"
"Ella, 2021",107,2,15,8502,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"unvaccinated","overall",NA,NA,NA,"severe","RCT","Ella, 2021-107"
"Falsey, 2021",132,2,8,8550,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"unvaccinated","overall",NA,NA,NA,"severe","RCT","Falsey, 2021-132"
"Palacios, 2021",239,2,6,3587,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"unvaccinated","overall",NA,NA,NA,"severe","RCT","Palacios, 2021-239"
"Polack, 2020",257,2,13,21686,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"unvaccinated","overall",NA,NA,NA,"severe","RCT","Polack, 2020-257"
"Sadoff, 2021",281,2,317,19544,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"unvaccinated","overall",NA,NA,NA,"severe","RCT","Sadoff, 2021-281"
"Sadoff, 2022",289,2,1067,19398,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","Any SARS-COV-2","all","all","all","all","all","unvaccinated","overall",NA,NA,NA,"severe","RCT","Sadoff, 2022-289"
"barda, 2021",28,3,129,80925,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"two-dose-mRNA","overall",NA,NA,NA,"severe","RC","barda, 2021-28"
"Glatman-Freedman, 2021b",150,3,20,430,">=16",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"two-dose-mRNA","",NA,NA,NA,"severe","RC","Glatman-Freedman, 2021b-150"
"Glatman-Freedman, 2021b",151,3,18,210,">=60","0","0","0","1","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"two-dose-mRNA","",NA,NA,NA,"severe","RC","Glatman-Freedman, 2021b-151"
"Glatman-Freedman, 2021b",152,3,9,61,">=80","0","0","0","1","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"two-dose-mRNA","",NA,NA,NA,"severe","RC","Glatman-Freedman, 2021b-152"
"Olson, 2022",236,3,2,162,"12-18yr","0","1","0","0","all","US",0,0,0,1,0,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"two-dose-mRNA","",NA,NA,NA,"severe","CC","Olson, 2022-236"
"Cerqueira-Silva, 2021",362,3,2,44,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"two-dose-mRNA","",NA,NA,NA,"severe","CC","Cerqueira-Silva, 2021-362"
"Falsey, 2021",132,4,0.5,17663,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"two-dose-adeno","overall",NA,NA,NA,"severe","RCT","Falsey, 2021-132"
"Cerqueira-Silva, 2021",362,4,29,460,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"two-dose-adeno","",NA,NA,NA,"severe","CC","Cerqueira-Silva, 2021-362"
