"author","studyID","treatment","responders","sampleSize","age","child","young","adult","elder","X.female.1.","ethnic.asian.","asian","middle.east","hispanic","white","black","condition.not.at.risk.","not.at.risk","chronic.dis","immuno","variant.wildtype.","alpha","beta","gamma","delta","omicron","platform","subgroup","ROB.low.","moderate","critical","outcome","study.type","study"
"Andrews, 2022",14,1,137478,244716,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"unvaccinated","",NA,NA,NA,"symp","CC","Andrews, 2022-14"
"Bruxvoort, 2021b",56,1,1078,352878,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"unvaccinated","overall",NA,NA,NA,"symp","PC","Bruxvoort, 2021b-56"
"Carazo, 2021",83,1,2813,22087,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"unvaccinated","",NA,NA,NA,"symp","CC","Carazo, 2021-83"
"Lopez, 2021",204,1,3657,48186,"=16yr",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","alpha","1","0","0","0","0","unvaccinated","",NA,NA,NA,"symp","CC","Lopez, 2021-204"
"Lopez, 2021",207,1,3656,48185,"=16yr",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","delta","0","0","0","1","0","unvaccinated","",NA,NA,NA,"symp","CC","Lopez, 2021-207"
"Nordstrom, 2021-b",231,1,259,60190,"30-80yr",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"unvaccinated","",NA,NA,NA,"symp","RC","Nordstrom, 2021-b-231"
"Nordstrom, 2021-b",232,1,47,10984,"30-80yr",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"unvaccinated","",NA,NA,NA,"symp","RC","Nordstrom, 2021-b-232"
"Nordstrom, 2021-b",233,1,323,109542,"30-80yr",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"unvaccinated","",NA,NA,NA,"symp","RC","Nordstrom, 2021-b-233"
"Powell, 2021",262,1,224265,442014,"12-15yr","0","1","0","0","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","delta","0","0","0","1","0","unvaccinated","",NA,NA,NA,"symp","CC","Powell, 2021-262"
"Powell, 2021",264,1,19983,59316,"12-15yr","0","1","0","0","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","omicron","0","0","0","0","1","unvaccinated","",NA,NA,NA,"symp","CC","Powell, 2021-264"
"Powell, 2021",266,1,46952,88982,"16-17yr","0","1","0","0","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","delta","0","0","0","1","0","unvaccinated","",NA,NA,NA,"symp","CC","Powell, 2021-266"
"Powell, 2021",268,1,8592,18742,"16-17yr","0","1","0","0","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","omicron","0","0","0","0","1","unvaccinated","",NA,NA,NA,"symp","CC","Powell, 2021-268"
"Reis, 2021",278,1,84,57803,"12-18yr","0","1","0","0","all","Israeli",0,1,0,0,0,NA,"1","0","0","delta","0","0","0","1","0","unvaccinated","",NA,NA,NA,"symp","RC","Reis, 2021-278"
"Reis, 2021",279,1,151,47194,"12-18yr","0","1","0","0","all","Israeli",0,1,0,0,0,NA,"1","0","0","delta","0","0","0","1","0","unvaccinated","",NA,NA,NA,"symp","RC","Reis, 2021-279"
"Cerqueira-Silva, 2021",361,1,14566,97856,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"unvaccinated","",NA,NA,NA,"symp","CC","Cerqueira-Silva, 2021-361"
"Cerqueira-Silva, 2022b",363,1,130302,1662565,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"unvaccinated","",NA,NA,NA,"symp","RC","Cerqueira-Silva, 2022b-363"
"Cerqueira-Silva, 2022b",364,1,68126,855542,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"unvaccinated","",NA,NA,NA,"symp","RC","Cerqueira-Silva, 2022b-364"
"Desai, 2022",369,1,555,1002,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0","delta","0","0","0","1","0","unvaccinated","",NA,NA,NA,"symp","CC","Desai, 2022-369"
"Al, 2021",3,2,95,12737,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"unvaccinated","",NA,NA,NA,"symp","RCT","Al, 2021-3"
"Ella, 2021",106,2,106,8502,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"unvaccinated","overall",NA,NA,NA,"symp","RCT","Ella, 2021-106"
"Falsey, 2021",126,2,130,8550253,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"unvaccinated","overall",NA,NA,NA,"symp","RCT","Falsey, 2021-126"
"Heath, 2021",159,2,96,7019,"all","all","all","all","all","all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"unvaccinated","overall",NA,NA,NA,"symp","RCT","Heath, 2021-159"
"Palacios, 2021",237,2,219,5714,"18-",NA,NA,NA,NA,"all",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,"unvaccinated","overall",NA,NA,NA,"symp","RCT","Palacios, 2021-237"
