"t[,1]","t[,2]","t[,3]","t[,4]","t[,5]","t[,6]","r[,1]","r[,2]","r[,3]","r[,4]","r[,5]","r[,6]","n[,1]","n[,2]","n[,3]","n[,4]","n[,5]","n[,6]",na[]
1,4,NA,NA,NA,NA,116,74,NA,NA,NA,NA,12722,12720,NA,NA,NA,NA,2
1,2,NA,NA,NA,NA,7,1,NA,NA,NA,NA,1243,2489,NA,NA,NA,NA,2
1,2,NA,NA,NA,NA,185,11,NA,NA,NA,NA,14073,14134,NA,NA,NA,NA,2
1,8,NA,NA,NA,NA,141,121,NA,NA,NA,NA,385,561,NA,NA,NA,NA,2
1,5,NA,NA,NA,NA,69,16,NA,NA,NA,NA,323,463,NA,NA,NA,NA,2
1,5,NA,NA,NA,NA,69,16,NA,NA,NA,NA,9144,18584,NA,NA,NA,NA,2
1,4,NA,NA,NA,NA,61,18,NA,NA,NA,NA,8502,8471,NA,NA,NA,NA,2
1,2,NA,NA,NA,NA,16,1,NA,NA,NA,NA,978,1006,NA,NA,NA,NA,2
1,2,NA,NA,NA,NA,47,8,NA,NA,NA,NA,4581,18198,NA,NA,NA,NA,2
1,6,NA,NA,NA,NA,345,114,NA,NA,NA,NA,19544,19514,NA,NA,NA,NA,2
1,6,NA,NA,NA,NA,62,28,NA,NA,NA,NA,3064,3060,NA,NA,NA,NA,2
1,6,NA,NA,NA,NA,79,23,NA,NA,NA,NA,3233,3247,NA,NA,NA,NA,2
1,3,NA,NA,NA,NA,38,15,NA,NA,NA,NA,2430,2377,NA,NA,NA,NA,2
1,3,NA,NA,NA,NA,33,12,NA,NA,NA,NA,2025,2063,NA,NA,NA,NA,2
1,3,NA,NA,NA,NA,140,73,NA,NA,NA,NA,4239,4223,NA,NA,NA,NA,2
1,6,NA,NA,NA,NA,51,18,NA,NA,NA,NA,1973,1923,NA,NA,NA,NA,2
1,2,NA,NA,NA,NA,16,3,NA,NA,NA,NA,750,1518,NA,NA,NA,NA,2
1,3,NA,NA,NA,NA,11,8,NA,NA,NA,NA,4290,4244,NA,NA,NA,NA,2
1,2,7,NA,NA,NA,4155,8,25,NA,NA,NA,1414660,19088,14690,NA,NA,NA,3
1,10,NA,NA,NA,NA,12318,101,NA,NA,NA,NA,53415,16436,NA,NA,NA,NA,2
1,2,3,NA,NA,NA,7104,5125,465,NA,NA,NA,842974,842974,842974,NA,NA,NA,3
1,2,3,NA,NA,NA,3874,162,5,NA,NA,NA,42791,316650,12837,NA,NA,NA,3
1,2,7,NA,NA,NA,994,7,13,NA,NA,NA,2290189,27274,27274,NA,NA,NA,3
1,2,10,NA,NA,NA,166671,4070,183,NA,NA,NA,1254548,108473,26406,NA,NA,NA,3
3,9,NA,NA,NA,NA,389,238,NA,NA,NA,NA,3268,3169,NA,NA,NA,NA,2
1,2,NA,NA,NA,NA,1144,289,NA,NA,NA,NA,352878,352878,NA,NA,NA,NA,2
1,2,3,6,7,9,4811,1155,272,511,421,7,14348,9099,1539,2596,2539,119,6
1,7,6,NA,NA,NA,723,23,36,NA,NA,NA,15392,4681,4681,NA,NA,NA,3
1,2,NA,NA,NA,NA,112,2,NA,NA,NA,NA,628,1508,NA,NA,NA,NA,2
2,9,NA,NA,NA,NA,81,10,NA,NA,NA,NA,10609,2512,NA,NA,NA,NA,2
1,2,7,NA,NA,NA,17215,50,892,NA,NA,NA,34047,515,2133,NA,NA,NA,3
1,2,7,NA,NA,NA,19787,179,1329,NA,NA,NA,39188,877,2909,NA,NA,NA,3
1,7,NA,NA,NA,NA,235,2,NA,NA,NA,NA,810,9,NA,NA,NA,NA,2
1,7,NA,NA,NA,NA,299,3,NA,NA,NA,NA,810,9,NA,NA,NA,NA,2
1,7,NA,NA,NA,NA,57,1,NA,NA,NA,NA,810,9,NA,NA,NA,NA,2
1,2,NA,NA,NA,NA,235,2,NA,NA,NA,NA,810,46,NA,NA,NA,NA,2
1,2,NA,NA,NA,NA,299,39,NA,NA,NA,NA,810,46,NA,NA,NA,NA,2
1,2,NA,NA,NA,NA,57,2,NA,NA,NA,NA,810,46,NA,NA,NA,NA,2
1,2,10,NA,NA,NA,14445,3315,195,NA,NA,NA,36214,38707,8124,NA,NA,NA,3
1,2,10,NA,NA,NA,1890,979,276,NA,NA,NA,3911,3619,2833,NA,NA,NA,3
1,7,NA,NA,NA,NA,475,751,NA,NA,NA,NA,4542,12451,NA,NA,NA,NA,2
1,7,6,NA,NA,NA,5258,1282,576,NA,NA,NA,40616,20479,6979,NA,NA,NA,3
1,4,11,NA,NA,NA,2661562,25134,103,NA,NA,NA,5529996,80547,2552,NA,NA,NA,3
