"t[,1]","t[,2]","t[,3]","t[,4]","t[,5]","t[,6]","t[,7]","r[,1]","r[,2]","r[,3]","r[,4]","r[,5]","r[,6]","r[,7]","n[,1]","n[,2]","n[,3]","n[,4]","n[,5]","n[,6]","n[,7]",na[]
1,4,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,12737,12736,NA,NA,NA,NA,NA,2
1,4,NA,NA,NA,NA,NA,15,1,NA,NA,NA,NA,NA,8502,8471,NA,NA,NA,NA,NA,2
1,3,NA,NA,NA,NA,NA,8,1,NA,NA,NA,NA,NA,8550,17663,NA,NA,NA,NA,NA,2
1,4,NA,NA,NA,NA,NA,6,1,NA,NA,NA,NA,NA,3587,3638,NA,NA,NA,NA,NA,2
1,7,NA,NA,NA,NA,NA,13,1,NA,NA,NA,NA,NA,21686,21669,NA,NA,NA,NA,NA,2
1,5,NA,NA,NA,NA,NA,317,105,NA,NA,NA,NA,NA,19544,19514,NA,NA,NA,NA,NA,2
1,5,NA,NA,NA,NA,NA,1067,484,NA,NA,NA,NA,NA,19398,19400,NA,NA,NA,NA,NA,2
1,7,NA,NA,NA,NA,NA,2635,393,NA,NA,NA,NA,NA,133994,7166,NA,NA,NA,NA,NA,2
1,7,NA,NA,NA,NA,NA,1590,364,NA,NA,NA,NA,NA,10586,3631,NA,NA,NA,NA,NA,2
1,7,NA,NA,NA,NA,NA,627,170,NA,NA,NA,NA,NA,2024,785,NA,NA,NA,NA,NA,2
1,2,NA,NA,NA,NA,NA,1880,20,NA,NA,NA,NA,NA,65742,430,NA,NA,NA,NA,NA,2
1,2,NA,NA,NA,NA,NA,963,18,NA,NA,NA,NA,NA,5095,210,NA,NA,NA,NA,NA,2
1,2,NA,NA,NA,NA,NA,333,9,NA,NA,NA,NA,NA,919,61,NA,NA,NA,NA,NA,2
2,8,NA,NA,NA,NA,NA,129,10,NA,NA,NA,NA,NA,80925,80925,NA,NA,NA,NA,NA,2
1,2,NA,NA,NA,NA,NA,139,2,NA,NA,NA,NA,NA,351,162,NA,NA,NA,NA,NA,2
1,2,3,4,5,6,7,1011,2,29,131,166,57,34,6107,44,460,1582,1326,399,312,7
