author,studyID,treatment,responders,sampleSize,age,child,young,adult,elder,(female=1),ethnic(asian),asian,middle-east,hispanic,white,black,condition(not-at-risk),not-at-risk,chronic-dis,immuno,variant(wildtype),alpha,beta,gamma,delta,omicron,platform,subgroup,ROB(low),moderate,critical,outcome,study.type,study
"Abu Raddad, 2021",1,UNVAC,17215,34047,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,alpha,1,0,0,0,0,unvaccinated,,NA,NA,NA,doc-infect,CC,"Abu Raddad, 2021-1"
"Abu Raddad, 2021",2,UNVAC,19787,39188,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,beta,0,1,0,0,0,unvaccinated,,NA,NA,NA,doc-infect,CC,"Abu Raddad, 2021-2"
"Andrews, 2021",7,UNVAC,126940,252293,18-49yr,0,0,1,0,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,symp,CC,"Andrews, 2021-7"
"Andrews, 2021",8,UNVAC,15481,25803,>=50yr,0,0,0,1,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,symp,CC,"Andrews, 2021-8"
"Andrews, 2021",9,UNVAC,1366,112658,18-49yr,0,0,1,0,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,hosp,CC,"Andrews, 2021-9"
"Andrews, 2021",10,UNVAC,719,9812,>=50yr,0,0,0,1,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,subgroup,NA,NA,NA,hosp,CC,"Andrews, 2021-10"
"Andrews, 2021",11,UNVAC,107,7577,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,overall,NA,NA,NA,death,CC,"Andrews, 2021-11"
"Andrews, 2022",12,UNVAC,36369,143607,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,delta,0,0,0,1,0,unvaccinated,subgroup,NA,NA,NA,symp,CC,"Andrews, 2022-12"
"Andrews, 2022",13,UNVAC,101109,208347,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,omicron,0,0,0,0,1,unvaccinated,subgroup,NA,NA,NA,symp,CC,"Andrews, 2022-13"
"Andrews, 2022",14,UNVAC,137478,244716,18-,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,unvaccinated,,NA,NA,NA,symp,CC,"Andrews, 2022-14"
