,mean,sd,2.50%,25%,50%,75%,97.50%,Rhat,n.eff
d[1],0,0,0,0,0,0,0,1,1
d[2],-0.716689794,1.074839203,-2.854173929,-1.217621596,-0.728898547,-0.227456367,1.445632585,1.004161753,1500
d[3],-0.627768979,1.390899844,-3.541668793,-1.313434743,-0.556686034,0.069891261,2.042894815,1.004592618,3000
d[4],-1.099226227,2.406668326,-5.816687791,-2.434116492,-1.144600719,0.203825006,4.037438905,1.002465111,1000
d[5],-0.436226302,2.427379065,-5.082903897,-1.813735318,-0.507058923,0.845778518,4.849723388,1.003649679,3000
d[6],0.374341953,1.438436288,-2.474680828,-0.411976613,0.360567188,1.173074108,3.221070761,1.001558178,3000
d[7],-0.48816512,2.278522479,-5.266851074,-1.763454323,-0.451956491,0.842297252,4.186459501,1.005844753,1400
d[8],-2.0451747,1.83156173,-5.755016987,-2.95652566,-2.060812282,-1.178098993,1.655660697,1.006581737,3000
d[9],-1.502180788,1.523513045,-4.016553728,-2.423893151,-1.681586384,-0.698725585,1.947278019,1.003275168,720
deviance,276.9266051,11.56688798,258.412278,268.5975752,275.3629397,283.2635384,303.774711,1.010504353,250
"lor[1,2]",-0.716689794,1.074839203,-2.854173929,-1.217621596,-0.728898547,-0.227456367,1.445632585,1.004161753,1500
"lor[1,3]",-0.627768979,1.390899844,-3.541668793,-1.313434743,-0.556686034,0.069891261,2.042894815,1.004592618,3000
"lor[2,3]",0.088920814,1.74989131,-3.642012622,-0.65133897,0.158131639,0.937732777,3.348150625,1.001512486,3000
"lor[1,4]",-1.099226227,2.406668326,-5.816687791,-2.434116492,-1.144600719,0.203825006,4.037438905,1.002465111,1000
"lor[2,4]",-0.382536433,2.661771159,-5.605724169,-1.797026879,-0.448122907,1.032048081,5.178254348,1.001632894,3000
"lor[3,4]",-0.471457248,2.770865928,-5.466037537,-2.057028634,-0.489889922,1.060603574,5.133311339,1.002024905,1400
"lor[1,5]",-0.436226302,2.427379065,-5.082903897,-1.813735318,-0.507058923,0.845778518,4.849723388,1.003649679,3000
"lor[2,5]",0.280463492,2.660146636,-4.896245547,-1.160852771,0.196467038,1.662136947,5.863904,1.002060431,3000
"lor[3,5]",0.191542678,2.791891269,-5.053076737,-1.397347082,0.112577529,1.709115136,6.105107142,1.005568298,3000
"lor[4,5]",0.662999925,2.803238596,-4.877141867,-0.815736847,0.606574119,2.181219824,6.635181164,1.005901714,2600
"lor[1,6]",0.374341953,1.438436288,-2.474680828,-0.411976613,0.360567188,1.173074108,3.221070761,1.001558178,3000
"lor[2,6]",1.091031747,1.795090125,-2.756412774,0.181467031,1.120597498,2.002054097,4.834867831,1.003022444,2000
"lor[3,6]",1.002110933,1.979819602,-2.796569705,-0.085381797,0.964393524,2.043090652,4.995712611,1.001265803,3000
"lor[4,6]",1.47356818,2.815648747,-4.519969319,-0.036052958,1.492987507,3.047229404,7.02861688,1.002436446,1100
"lor[5,6]",0.810568255,2.847940694,-4.958256032,-0.711644371,0.856401065,2.388983559,6.102574217,1.003267079,3000
"lor[1,7]",-0.48816512,2.278522479,-5.266851074,-1.763454323,-0.451956491,0.842297252,4.186459501,1.005844753,1400
"lor[2,7]",0.228524674,2.519452162,-4.941923264,-1.148333066,0.273277295,1.654425105,5.150581416,1.003178031,3000
"lor[3,7]",0.139603859,2.572065002,-5.014750945,-1.203298268,0.12422866,1.519136791,5.321099432,1.014212402,1500
"lor[4,7]",0.611061107,3.310616232,-6.20661452,-1.242306026,0.646374342,2.535300283,7.0238897,1.001757415,3000
"lor[5,7]",-0.051938819,3.309704015,-6.720496791,-1.917024398,0.052154561,1.947058451,6.330590483,1.002170481,3000
"lor[6,7]",-0.862507074,2.704772772,-6.307247674,-2.407987378,-0.812398558,0.659588523,4.455100669,1.004923717,1500
"lor[1,8]",-2.0451747,1.83156173,-5.755016987,-2.95652566,-2.060812282,-1.178098993,1.655660697,1.006581737,3000
"lor[2,8]",-1.328484906,2.080569617,-5.594228518,-2.307447889,-1.323839476,-0.321564586,2.741204182,1.005839954,3000
"lor[3,8]",-1.417405721,2.256562727,-5.807073872,-2.508394478,-1.508507996,-0.411057038,3.258690289,1.009847006,3000
"lor[4,8]",-0.945948473,3.039464205,-7.17009379,-2.578855108,-0.937215094,0.756336711,5.010221268,1.004964953,2700
"lor[5,8]",-1.608948399,2.988978474,-7.831734815,-3.207832143,-1.53305673,0.10878003,4.243286125,1.002336441,3000
"lor[6,8]",-2.419516654,2.358747435,-6.933486244,-3.661118192,-2.447774795,-1.198889861,2.25674175,1.005512997,3000
"lor[7,8]",-1.55700958,2.88244327,-7.149588296,-3.173991731,-1.601956402,0.011365215,4.48009758,1.009710633,2400
"lor[1,9]",-1.502180788,1.523513045,-4.016553728,-2.423893151,-1.681586384,-0.698725585,1.947278019,1.003275168,720
"lor[2,9]",-0.785490995,1.787784954,-3.699092948,-1.801190777,-0.976801721,0.042351587,3.080144455,1.001075817,3000
"lor[3,9]",-0.874411809,2.032413543,-4.20074351,-2.104593997,-1.110205709,0.112045218,3.646965678,1.001879755,1500
"lor[4,9]",-0.402954562,2.857745571,-6.244784908,-1.97359815,-0.400633205,1.147130565,5.297509109,1.000615718,3000
"lor[5,9]",-1.065954487,2.860238917,-6.940203513,-2.66360583,-1.040921195,0.568764655,4.47596775,1.002930621,3000
"lor[6,9]",-1.876522742,2.179464576,-5.814928066,-3.139817538,-2.00865862,-0.799236695,3.08145408,1.002460791,1000
"lor[7,9]",-1.014015668,2.746136981,-6.154646288,-2.619577708,-1.098259043,0.457877615,4.849482689,1.002977979,3000
"lor[8,9]",0.542993912,2.277604199,-3.305167791,-0.703385697,0.353476532,1.577261106,5.389552763,1.002922545,3000
resdev[1],1.932655885,1.924684198,0.054949613,0.571183341,1.349458641,2.646811767,7.049012555,1.000786794,3000
resdev[2],1.971200104,2.013899503,0.048906238,0.578001726,1.323232097,2.731545542,7.405035935,1.001028414,3000
resdev[3],2.020505071,1.946334687,0.061607127,0.6083559,1.437590199,2.84133098,7.100993844,1.000660702,3000
resdev[4],2.162356196,2.157459859,0.043801406,0.599778728,1.486683169,3.070237746,7.983600985,1.000736957,3000
resdev[5],1.971095675,1.996485961,0.051727471,0.55221503,1.325569582,2.702106423,7.470435355,1.00081156,3000
resdev[6],1.957678134,1.959961349,0.04970485,0.580775901,1.376717563,2.688789364,7.14159531,1.005354787,810
resdev[7],3.152117025,2.555050165,0.25068434,1.233627192,2.487112949,4.476301356,9.658066499,1.005899275,370
resdev[8],3.027527925,2.489857321,0.210278827,1.22677751,2.389199784,4.144753414,9.313491548,1.004303235,680
resdev[9],2.076888687,2.002962219,0.074342965,0.58201293,1.392470877,3.036017763,7.274683486,1.057000909,46
resdev[10],9.982971892,8.161825317,2.193137666,4.18960385,6.259136121,13.81325389,30.09360134,1.066585504,35
resdev[11],5.114309715,3.194628874,0.90705585,2.769799073,4.539802477,6.755223783,12.68026208,1.006268856,350
resdev[12],1.880660344,1.889574791,0.049415775,0.556613139,1.317983299,2.559465333,6.788031553,1.001057974,3000
resdev[13],1.443251159,1.616339294,0.030504046,0.341468103,0.887169577,1.946049259,6.092972439,1.000678654,3000
resdev[14],1.781049958,1.811922969,0.044826074,0.505485891,1.2008882,2.467107153,6.8653209,1.001117863,3000
resdev[15],2.082173852,2.153912909,0.050603639,0.568125863,1.457998405,2.803243942,7.742652159,1.000895729,3000
resdev[16],1.886211787,1.950472758,0.055788954,0.500470131,1.251417115,2.600796167,6.978478245,1.000791175,3000
rk[1],7,1.306785669,4,6,7,8,9,1.00158031,3000
rk[2],5,1.848857119,2,4,5,6,9,1.000924886,3000
rk[3],5,2.108705235,1,4,5,7,9,1.00166489,3000
rk[4],4,2.743314142,1,2,4,7,9,1.002601633,950
rk[5],5,2.764370538,1,3,5,8,9,1.001852378,1500
rk[6],7,2.116559432,2,6,8,9,9,1.003057524,780
rk[7],5,2.784455175,1,3,5,8,9,1.001808882,1500
rk[8],3,2.06904011,1,1,2,4,8,1.00064423,3000
rk[9],3,2.191501363,1,2,3,5,9,1.002539792,980
sdALL,1.144691089,1.04433706,0.05087463,0.402415307,0.879591105,1.592840326,3.847192203,1.004796025,530
sdCC,0.864610739,0.481285466,0.345488357,0.545007695,0.732771044,1.036597836,2.110650897,1.000895968,3000
sdPC,3.466850522,2.795056244,0.120700217,1.063513074,2.738446093,5.501414976,9.556650147,1.003780312,940
sdRC,1.773499914,0.750705523,0.8101815,1.262198035,1.622939339,2.10435722,3.655413094,1.003232555,730
totresdev,44.44265341,11.56688798,25.92832549,36.11362324,42.87898439,50.77958666,71.29074622,1.007560061,290
