,mean,sd,2.50%,25%,50%,75%,97.50%,Rhat,n.eff
d[1],0,0,0,0,0,0,0,1,1
d[2],-2.103737037,0.490751735,-3.045358698,-2.415301807,-2.119658754,-1.806831202,-1.087476474,1.000705409,3000
d[3],-1.419850229,0.651284226,-2.835352622,-1.797267639,-1.379102549,-0.980292474,-0.276742481,1.002796208,1700
d[4],-0.708022048,0.701052172,-2.039553005,-1.148531184,-0.712384963,-0.28494996,0.69552625,1.001231552,2700
d[5],-2.145966861,0.81931898,-3.800512615,-2.630115168,-2.147957757,-1.681809717,-0.480207291,1.002890361,840
d[6],-0.975020917,0.594037612,-2.23633498,-1.338966852,-0.978511543,-0.614723167,0.209513357,1.000896316,3000
d[7],-0.797236295,0.63438059,-2.046108168,-1.20235177,-0.814629212,-0.388223598,0.504714218,1.003689726,630
d[8],-0.743211243,0.823035479,-2.396572745,-1.218189707,-0.756714463,-0.25225159,0.944528482,1.000527955,3000
d[9],-2.712464184,1.07971505,-4.948566658,-3.40214795,-2.689742525,-2.015733297,-0.613596326,1.001091177,3000
d[10],-3.082588492,0.867976359,-4.73147424,-3.62947375,-3.097142791,-2.539195729,-1.2923101,1.001439161,2100
d[11],-3.067224278,1.373435356,-5.84803748,-3.94788399,-3.078889329,-2.151469443,-0.393051492,1.000897851,3000
deviance,769.84334,13.78471651,744.663905,760.1445736,769.2282168,778.5712019,798.5165922,1.001191196,2900
"lor[1,2]",-2.103737037,0.490751735,-3.045358698,-2.415301807,-2.119658754,-1.806831202,-1.087476474,1.000705409,3000
"lor[1,3]",-1.419850229,0.651284226,-2.835352622,-1.797267639,-1.379102549,-0.980292474,-0.276742481,1.002796208,1700
"lor[2,3]",0.683886807,0.810516044,-1.081143637,0.198374901,0.750195742,1.220709182,2.127277228,1.002112523,1500
"lor[1,4]",-0.708022048,0.701052172,-2.039553005,-1.148531184,-0.712384963,-0.28494996,0.69552625,1.001231552,2700
"lor[2,4]",1.395714989,0.849937549,-0.265746661,0.874466261,1.408514869,1.904034093,3.131223998,1.000901188,3000
"lor[3,4]",0.711828181,0.967916053,-1.126215494,0.098942029,0.646514081,1.302194896,2.818965704,1.00217526,1400
"lor[1,5]",-2.145966861,0.81931898,-3.800512615,-2.630115168,-2.147957757,-1.681809717,-0.480207291,1.002890361,840
"lor[2,5]",-0.042229824,0.951079272,-2.004529255,-0.619501548,-0.022551743,0.525898145,1.824120158,1.002673631,920
"lor[3,5]",-0.726116632,1.038987255,-2.647343666,-1.396048774,-0.817485536,-0.120555673,1.519488552,1.001712071,1700
"lor[4,5]",-1.437944813,1.090980663,-3.644112907,-2.08828615,-1.437959757,-0.793747125,0.806197301,1.001505523,2000
"lor[1,6]",-0.975020917,0.594037612,-2.23633498,-1.338966852,-0.978511543,-0.614723167,0.209513357,1.000896316,3000
"lor[2,6]",1.12871612,0.75448791,-0.421694473,0.685842769,1.147928449,1.592233069,2.642495137,1.00198729,3000
"lor[3,6]",0.444829313,0.876645099,-1.1540648,-0.132232657,0.382104278,0.975048547,2.312455267,1.001259349,3000
"lor[4,6]",-0.266998868,0.929272627,-2.210713903,-0.818239733,-0.267807314,0.296831911,1.63796869,1.001130916,3000
"lor[5,6]",1.170945945,0.993562075,-0.834530526,0.605389444,1.171777883,1.754510228,3.174852054,1.002042579,1300
"lor[1,7]",-0.797236295,0.63438059,-2.046108168,-1.20235177,-0.814629212,-0.388223598,0.504714218,1.003689726,630
"lor[2,7]",1.306500741,0.765425613,-0.208229888,0.828824843,1.306776901,1.777062587,2.804897481,1.002180611,1200
"lor[3,7]",0.622613934,0.886065905,-1.077217767,0.050913011,0.583270475,1.156561764,2.48005084,1.004048725,570
"lor[4,7]",-0.089214247,0.926099707,-1.935061444,-0.666458917,-0.089303952,0.515505202,1.654812747,1.002967299,810
"lor[5,7]",1.348730566,1.031663016,-0.691951975,0.711421854,1.348371675,1.985179875,3.455693199,1.005879502,370
"lor[6,7]",0.177784621,0.820196996,-1.397765288,-0.336638649,0.165331239,0.695862544,1.874117698,1.002703182,910
"lor[1,8]",-0.743211243,0.823035479,-2.396572745,-1.218189707,-0.756714463,-0.25225159,0.944528482,1.000527955,3000
"lor[2,8]",1.360525794,0.95882565,-0.560360365,0.791696649,1.385026433,1.93251342,3.336929165,1.000633386,3000
"lor[3,8]",0.676638987,1.041782524,-1.268748872,0.031130982,0.592284563,1.288865442,2.904261439,1.000816316,3000
"lor[4,8]",-0.035189194,1.067720323,-2.171790542,-0.660558762,-0.031749076,0.596085701,2.173435784,1.001079107,3000
"lor[5,8]",1.402755618,1.164708471,-1.038432728,0.731073968,1.424850734,2.07808012,3.794870486,1.001688725,1700
"lor[6,8]",0.231809674,1.016667645,-1.876366214,-0.37284637,0.254698002,0.820155189,2.294159487,1.000500426,3000
"lor[7,8]",0.054025053,1.021077205,-1.98816698,-0.581506269,0.054503671,0.690831238,2.031734319,1.001810148,1500
"lor[1,9]",-2.712464184,1.07971505,-4.948566658,-3.40214795,-2.689742525,-2.015733297,-0.613596326,1.001091177,3000
"lor[2,9]",-0.608727148,1.146237441,-2.941206126,-1.320236429,-0.548691172,0.128430075,1.588291479,1.000901218,3000
"lor[3,9]",-1.292613955,1.160910455,-3.599922129,-2.02178356,-1.308114017,-0.560952324,0.995617022,1.001819204,1500
"lor[4,9]",-2.004442136,1.284416138,-4.624437142,-2.803794835,-1.956897718,-1.170134632,0.447501683,1.001428993,2200
"lor[5,9]",-0.566497323,1.352242654,-3.373489246,-1.362765552,-0.535667987,0.284052868,1.994865026,1.002907806,830
"lor[6,9]",-1.737443268,1.185813655,-4.193794703,-2.45746955,-1.708949405,-0.95895544,0.523675057,1.001069949,3000
"lor[7,9]",-1.915227889,1.209680184,-4.344073603,-2.677349668,-1.878555437,-1.120220273,0.411163798,1.000574346,3000
"lor[8,9]",-1.969252942,1.358090747,-4.686694562,-2.812887518,-1.953143782,-1.103506373,0.716479714,1.00089032,3000
"lor[1,10]",-3.082588492,0.867976359,-4.73147424,-3.62947375,-3.097142791,-2.539195729,-1.2923101,1.001439161,2100
"lor[2,10]",-0.978851455,0.971993993,-2.888213351,-1.586265536,-0.969761162,-0.392079133,0.981337503,1.00126884,2600
"lor[3,10]",-1.662738263,1.0810255,-3.675752967,-2.375912632,-1.67205124,-1.013895419,0.627967474,1.001716923,1600
"lor[4,10]",-2.374566444,1.125557466,-4.547061957,-3.071759987,-2.389592146,-1.661262423,-0.051290685,1.000600339,3000
"lor[5,10]",-0.936621631,1.182837903,-3.337484846,-1.666737575,-0.927251497,-0.233440279,1.350197111,1.000951481,3000
"lor[6,10]",-2.107567575,1.018694815,-4.05820404,-2.763164317,-2.107633194,-1.48358376,-0.068899753,1.001329866,2400
"lor[7,10]",-2.285352196,1.059007028,-4.275160008,-2.965784374,-2.278579126,-1.618290286,-0.079302254,1.003415411,690
"lor[8,10]",-2.339377249,1.176832409,-4.680818037,-3.07016575,-2.341146038,-1.621622904,0.140431212,1.001127827,3000
"lor[9,10]",-0.370124307,1.378256635,-2.952310875,-1.24158532,-0.391591592,0.457012115,2.458248712,1.00180571,1500
"lor[1,11]",-3.067224278,1.373435356,-5.84803748,-3.94788399,-3.078889329,-2.151469443,-0.393051492,1.000897851,3000
"lor[2,11]",-0.963487242,1.464260115,-3.861506256,-1.926002879,-0.962820201,0.040908908,1.854889781,1.000740126,3000
"lor[3,11]",-1.647374049,1.530292342,-4.555097115,-2.623518165,-1.639719212,-0.705430718,1.437558442,1.001397686,3000
"lor[4,11]",-2.35920223,1.445197052,-5.24900742,-3.26643292,-2.342893594,-1.424555272,0.382360464,1.001362824,2600
"lor[5,11]",-0.921257417,1.623561479,-4.207856057,-1.96399687,-0.910089878,0.126170434,2.166929349,1.002041788,1300
"lor[6,11]",-2.092203362,1.480022249,-5.111875643,-3.043889773,-2.057924334,-1.107603586,0.760458228,1.000780134,3000
"lor[7,11]",-2.269987983,1.513469724,-5.246834211,-3.253531919,-2.272627608,-1.250396784,0.724225826,1.000974838,3000
"lor[8,11]",-2.324013036,1.590332732,-5.49558627,-3.353965508,-2.343748512,-1.331928168,0.987038462,1.000718382,3000
"lor[9,11]",-0.354760094,1.769070281,-3.972780591,-1.510133664,-0.330718704,0.757504389,3.080263865,1.00073509,3000
"lor[10,11]",0.015364214,1.607738571,-3.114350886,-1.034928796,0.0416367,1.070249102,3.142722848,1.001452197,2100
resdev[1],2.54217549,2.346367632,0.07562767,0.820572924,1.865079166,3.574757313,8.575294338,1.002273335,1100
resdev[2],1.099597334,1.361439751,0.012350195,0.189447739,0.596374935,1.467016624,4.879531329,1.003626032,640
resdev[3],1.630360013,1.718133727,0.042572521,0.450906294,1.069290955,2.21607255,6.186861578,1.001351495,2300
resdev[4],2.032776718,2.027119323,0.043427367,0.579022972,1.416164444,2.847439622,7.279023935,1.000568184,3000
resdev[5],1.702280108,1.680653137,0.040822022,0.490053508,1.196039784,2.391258864,6.019747891,1.001112332,3000
resdev[6],1.710111248,1.798505947,0.045175683,0.459146282,1.150717695,2.291202494,6.362486623,1.001862586,3000
resdev[7],3.631154438,2.832426947,0.148921523,1.376074908,3.054039789,5.250991602,10.68245045,1.012886078,270
resdev[8],1.072636065,1.346097623,0.014775819,0.193473209,0.571035753,1.449232199,4.815709954,1.000623845,3000
resdev[9],2.028128639,1.929962736,0.048432727,0.65166302,1.508262018,2.834868269,7.278150559,1.000655934,3000
resdev[10],1.88974262,1.905057058,0.047757929,0.551552646,1.309504611,2.621391375,6.618945548,1.001162274,3000
resdev[11],2.104996634,1.799435782,0.080711826,0.777148152,1.634129214,2.898405407,6.792581989,1.000798905,3000
resdev[12],1.698437517,1.651237708,0.03686834,0.528395537,1.197802768,2.338853098,5.988899168,1.000933295,3000
resdev[13],1.563082048,1.641433896,0.038571161,0.440047581,1.052104499,2.111147493,5.982679953,1.001021759,3000
resdev[14],1.670879615,1.580540407,0.054507386,0.546159152,1.222793983,2.295538382,5.902447978,1.002751877,890
resdev[15],1.929030601,1.944656087,0.05485787,0.575880204,1.356766858,2.644704609,7.23643498,1.000629159,3000
resdev[16],1.407029648,1.558506842,0.034778259,0.356913991,0.889614881,1.914728425,5.425034763,1.002854181,1300
resdev[17],1.462549215,1.440157069,0.064419366,0.522219929,1.017498863,1.918548975,5.46121262,1.003158929,750
resdev[18],2.055425228,1.677181701,0.124011163,0.899506641,1.61291619,2.760654001,6.302897893,1.002235704,1300
resdev[19],3.154244309,2.610070948,0.217832941,1.244921665,2.425572215,4.275817976,10.02197758,1.001210508,2800
resdev[20],1.98756689,1.978341574,0.060580016,0.546076467,1.398578281,2.739513855,7.220773255,1.001792601,1500
resdev[21],2.901446144,2.44856851,0.192433157,1.109560869,2.323113085,3.945024293,9.071825994,1.000722983,3000
resdev[22],2.986263667,2.470798805,0.21463814,1.158627476,2.283218854,4.107415071,9.459277559,1.003665955,630
resdev[23],3.194702281,2.569272963,0.248971782,1.312803652,2.451860716,4.5088627,9.963662487,1.012898564,210
resdev[24],3.020697403,2.475252377,0.193008157,1.198921011,2.347540462,4.162219228,9.387288525,1.001183041,2900
resdev[25],2.021064826,2.019204836,0.049938223,0.569883544,1.364060905,2.837562452,7.653851437,1.001391866,2200
resdev[26],1.964253555,1.95888964,0.044975828,0.552138396,1.344254563,2.760701462,7.26790514,1.005650752,390
resdev[27],5.920200749,3.428793611,1.172608328,3.359383888,5.266209697,7.83144267,14.04036282,1.000876671,3000
resdev[28],2.947268423,2.510863196,0.201488089,1.127463991,2.288191617,3.990765037,9.532850305,1.001013483,3000
resdev[29],2.476578788,2.477999718,0.05621924,0.684386346,1.756853649,3.433792211,9.174366718,1.005940357,450
resdev[30],2.000333446,2.047280219,0.05416037,0.56638571,1.358337439,2.730275333,7.507179002,1.00272254,900
resdev[31],2.967942898,2.469045377,0.199364472,1.184987247,2.27349035,4.083461476,9.353089058,1.000661892,3000
resdev[32],2.978115368,2.37093846,0.243118459,1.214343114,2.387459183,4.067886683,9.127761498,1.00056841,3000
resdev[33],1.726108712,1.762055737,0.04927861,0.492139883,1.172992203,2.359908998,6.484665173,1.002055326,1300
resdev[34],1.806829098,1.785482414,0.045055483,0.513011928,1.259875845,2.51819803,6.87855371,1.00096084,3000
