,mean,sd,2.50%,25%,50%,75%,97.50%,Rhat,n.eff
d[1],0,0,0,0,0,0,0,1,1
d[2],-1.374629189,0.550205024,-2.413128312,-1.669133831,-1.416663777,-1.113405711,-0.202106026,1.003824166,3000
d[3],-1.297343701,1.357555984,-4.15256125,-2.011030007,-1.255025757,-0.545618306,1.377703512,1.014931488,970
d[4],-1.236381869,0.85263882,-2.905419029,-1.732640931,-1.244953885,-0.732543194,0.521952406,1.002305531,3000
d[5],-1.10314938,0.594289445,-2.195060483,-1.479037164,-1.129848165,-0.763251771,0.123563314,1.020536409,130
d[6],-0.896484087,1.502825211,-4.025236229,-1.687600791,-0.884057401,-0.09897944,2.143807273,1.017029923,3000
d[7],-2.873765679,0.683723697,-4.258919448,-3.227905427,-2.856842986,-2.498747767,-1.504191165,1.003868498,1500
deviance,652.6481599,17.44201605,624.3917912,640.5008947,650.7246123,661.9720393,694.1663996,1.015280213,330
"lor[1,2]",-1.374629189,0.550205024,-2.413128312,-1.669133831,-1.416663777,-1.113405711,-0.202106026,1.003824166,3000
"lor[1,3]",-1.297343701,1.357555984,-4.15256125,-2.011030007,-1.255025757,-0.545618306,1.377703512,1.014931488,970
"lor[2,3]",0.077285488,1.421610343,-2.988034696,-0.693094577,0.162407574,0.87805101,2.921912096,1.013242661,870
"lor[1,4]",-1.236381869,0.85263882,-2.905419029,-1.732640931,-1.244953885,-0.732543194,0.521952406,1.002305531,3000
"lor[2,4]",0.138247321,0.991510528,-1.896585612,-0.426187429,0.160754615,0.704191391,2.148177164,1.006016463,3000
"lor[3,4]",0.060961832,1.519529289,-2.914609601,-0.786770288,-0.024628567,0.870377775,3.431515178,1.010900931,1700
"lor[1,5]",-1.10314938,0.594289445,-2.195060483,-1.479037164,-1.129848165,-0.763251771,0.123563314,1.020536409,130
"lor[2,5]",0.271479809,0.763657872,-1.182098412,-0.148072109,0.251246546,0.676041316,1.781914312,1.015876628,170
"lor[3,5]",0.194194321,1.443674388,-2.483452652,-0.657525494,0.093854703,0.94550334,3.343550941,1.019953566,290
"lor[4,5]",0.133232489,0.975454913,-1.76146558,-0.450225418,0.09944229,0.655023436,2.148270073,1.012573367,250
"lor[1,6]",-0.896484087,1.502825211,-4.025236229,-1.687600791,-0.884057401,-0.09897944,2.143807273,1.017029923,3000
"lor[2,6]",0.478145102,1.555577896,-2.895877223,-0.357670959,0.516340127,1.314417541,3.56657573,1.015318462,3000
"lor[3,6]",0.400859614,1.858521744,-3.33362709,-0.577422607,0.30960864,1.328166725,4.349436785,1.019362409,880
"lor[4,6]",0.339897782,1.621498406,-3.16514354,-0.491574435,0.386024522,1.217150816,3.612783656,1.017010399,3000
"lor[5,6]",0.206665293,1.588600888,-3.20573642,-0.60726419,0.279192202,1.057586816,3.510221242,1.018870223,540
"lor[1,7]",-2.873765679,0.683723697,-4.258919448,-3.227905427,-2.856842986,-2.498747767,-1.504191165,1.003868498,1500
"lor[2,7]",-1.49913649,0.855225804,-3.348714801,-1.931184138,-1.450702586,-1.035392329,0.140348295,1.004404072,1500
"lor[3,7]",-1.576421978,1.483662516,-4.414777786,-2.420692076,-1.596659685,-0.781162688,1.46501957,1.013924727,650
"lor[4,7]",-1.63738381,1.073706698,-3.760703145,-2.237725864,-1.625204783,-1.047462207,0.513933465,1.004701691,1600
"lor[5,7]",-1.770616299,0.89948473,-3.696452077,-2.278458879,-1.721609892,-1.222133208,-0.113592943,1.00809688,630
"lor[6,7]",-1.977281592,1.63733247,-5.31222961,-2.876570169,-1.990293951,-1.095786935,1.413743157,1.017097724,2300
resdev[1],2.173029875,1.943578908,0.063164341,0.787267702,1.651577268,2.901819363,7.493765142,1.069108614,47
resdev[2],2.009735712,1.979637242,0.060603451,0.607032441,1.425388339,2.744861008,7.343965546,1.001820896,1500
resdev[3],2.009011785,2.056287792,0.051633004,0.558557138,1.352811164,2.771659337,7.395688116,1.001065335,3000
resdev[4],1.99832449,2.093528097,0.061662725,0.598753741,1.363458585,2.67622105,7.616865422,1.001378984,3000
resdev[5],2.108727689,2.115139015,0.055647687,0.61085729,1.457704741,2.94271689,7.594514007,1.001239967,2700
resdev[6],1.985580727,1.965808817,0.051483854,0.56637904,1.366548016,2.815540625,7.54655971,1.005319142,430
resdev[7],1.901808865,1.942147119,0.048142,0.52121509,1.329189261,2.615580702,7.16567559,1.00161048,2300
resdev[8],5.770325939,9.585687645,0.122010677,0.955373915,1.989509963,4.872631107,37.93970265,1.054460734,46
resdev[9],2.98352016,2.437073909,0.223383319,1.229182325,2.375194262,4.050268593,9.357177253,1.000675096,3000
resdev[10],2.079127862,2.259724032,0.046727859,0.543602104,1.24745428,2.875689708,8.093171928,1.038038323,58
resdev[11],4.472205185,3.720747767,0.137358931,1.678642985,3.612139266,6.264407422,13.36410128,1.052818599,58
resdev[12],5.904860901,3.46105559,1.174930633,3.387153075,5.293567858,7.616870433,14.39688401,1.000697712,3000
resdev[13],1.970841506,1.834721409,0.06358684,0.642573037,1.453438488,2.710382382,6.689373159,1.000697565,3000
resdev[14],1.879031527,1.86755118,0.05056014,0.537725433,1.295113529,2.618575109,6.889338505,1.000769698,3000
resdev[15],2.994197826,2.440486052,0.250756503,1.189028134,2.376376035,4.100255376,9.484228106,1.000709508,3000
resdev[16],1.9774763,1.95107658,0.044157434,0.59138779,1.372444337,2.770217816,7.178741352,1.000980598,3000
