,mean,sd,2.50%,25%,50%,75%,97.50%,Rhat,n.eff
d[1],0,0,0,0,0,0,0,1,1
d[2],-2.190151507,0.666585468,-3.568842698,-2.535906886,-2.1739689,-1.833736828,-0.869349572,1.000510785,3000
d[3],-0.88229464,0.528084206,-1.829345747,-1.194737152,-0.918586556,-0.610680439,0.260612467,1.000567648,3000
d[4],-1.149304128,0.691825784,-2.546965869,-1.568784376,-1.123253943,-0.730741441,0.17209194,1.001324726,3000
d[5],-0.338355912,0.661734618,-1.73345697,-0.708067748,-0.314503139,0.057467309,0.914179108,1.001631489,1800
d[6],-0.708232885,0.783235891,-2.24746505,-1.17050049,-0.70896627,-0.232194213,0.829780663,1.003083179,980
d[7],-0.87849932,0.703688052,-2.373355032,-1.219991285,-0.876227552,-0.529505955,0.509620534,1.001039276,3000
d[8],-2.36829106,2.333633297,-7.007194167,-3.846775627,-2.379746165,-0.937975774,2.315903147,1.001679602,1700
d[9],-0.858642767,0.688470794,-2.137328685,-1.244421045,-0.916491573,-0.519610661,0.736310801,1.00283042,930
d[10],-3.981447828,1.010904372,-6.023226158,-4.580902552,-3.996781474,-3.379406154,-1.992978304,1.006192631,360
d[11],-1.245993696,1.031108185,-3.310324664,-1.869192296,-1.255680882,-0.61860939,0.798714231,1.001837004,1500
deviance,690.6223831,86.64953318,602.3072953,629.1894381,659.0465166,726.7530093,931.6514826,1.016340624,180
"lor[1,2]",-2.190151507,0.666585468,-3.568842698,-2.535906886,-2.1739689,-1.833736828,-0.869349572,1.000510785,3000
"lor[1,3]",-0.88229464,0.528084206,-1.829345747,-1.194737152,-0.918586556,-0.610680439,0.260612467,1.000567648,3000
"lor[2,3]",1.307856866,0.824883245,-0.226488352,0.851406906,1.264109718,1.702019752,3.208597002,1.00052851,3000
"lor[1,4]",-1.149304128,0.691825784,-2.546965869,-1.568784376,-1.123253943,-0.730741441,0.17209194,1.001324726,3000
"lor[2,4]",1.040847378,0.935089369,-0.78835077,0.519921631,1.055816365,1.588362434,2.827177732,1.001344415,3000
"lor[3,4]",-0.267009488,0.848784795,-2.046805994,-0.746752393,-0.236208579,0.268055061,1.278453481,1.000789101,3000
"lor[1,5]",-0.338355912,0.661734618,-1.73345697,-0.708067748,-0.314503139,0.057467309,0.914179108,1.001631489,1800
"lor[2,5]",1.851795594,0.913954069,-0.010024651,1.37991005,1.860724166,2.347090775,3.601038621,1.001225219,2800
"lor[3,5]",0.543938728,0.820310312,-1.28311714,0.150575216,0.599075482,1.01103172,2.00014398,1.00220265,2300
"lor[4,5]",0.810948216,0.926508844,-1.061303064,0.264391157,0.795334167,1.33874818,2.632881236,1.00231767,1600
"lor[1,6]",-0.708232885,0.783235891,-2.24746505,-1.17050049,-0.70896627,-0.232194213,0.829780663,1.003083179,980
"lor[2,6]",1.481918622,1.002597314,-0.481314517,0.909988873,1.472543428,2.049846291,3.493929589,1.003001289,1600
"lor[3,6]",0.174061755,0.917133541,-1.73436854,-0.331706597,0.195482521,0.728946684,1.977495513,1.002362958,1100
"lor[4,6]",0.441071244,0.95889015,-1.400068465,-0.149914428,0.440904833,1.009293506,2.384191694,1.001504772,2000
"lor[5,6]",-0.369876972,1.023825917,-2.418252529,-0.97342926,-0.378719236,0.214718766,1.725515068,1.002030852,1300
"lor[1,7]",-0.87849932,0.703688052,-2.373355032,-1.219991285,-0.876227552,-0.529505955,0.509620534,1.001039276,3000
"lor[2,7]",1.311652187,0.909690209,-0.620613438,0.901280603,1.295933271,1.741544284,3.17041554,1.000913417,3000
"lor[3,7]",0.003795321,0.834219855,-1.855449347,-0.375755626,0.03983827,0.458540437,1.530082482,1.001040513,3000
"lor[4,7]",0.270804809,0.945633041,-1.617777595,-0.277203017,0.261953182,0.785911162,2.263322225,1.001315116,2700
"lor[5,7]",-0.540143407,0.938294198,-2.368247933,-1.018056829,-0.55454157,-0.076517518,1.408744691,1.000578403,3000
"lor[6,7]",-0.170266435,1.022571837,-2.243819676,-0.74450526,-0.171464966,0.409122818,1.94100274,1.004182849,2000
"lor[1,8]",-2.36829106,2.333633297,-7.007194167,-3.846775627,-2.379746165,-0.937975774,2.315903147,1.001679602,1700
"lor[2,8]",-0.178139553,2.417722552,-4.93142667,-1.729272823,-0.191903557,1.380662823,4.545423318,1.001659887,1700
"lor[3,8]",-1.48599642,2.376422195,-6.064583682,-2.980853516,-1.492627075,-0.015288872,3.453171423,1.00171429,1600
"lor[4,8]",-1.218986932,2.430345911,-6.070468929,-2.81235569,-1.192633909,0.294635227,3.569573089,1.001818642,1500
"lor[5,8]",-2.029935148,2.424554694,-6.807880138,-3.5805221,-2.020266252,-0.524476905,2.820560034,1.001090496,3000
"lor[6,8]",-1.660058175,2.458053133,-6.590929965,-3.229899572,-1.661668757,-0.117323663,3.156959035,1.001442729,2100
"lor[7,8]",-1.489791741,2.410349981,-6.3024625,-3.021034736,-1.467714556,0.041059599,3.265797144,1.001199843,2900
"lor[1,9]",-0.858642767,0.688470794,-2.137328685,-1.244421045,-0.916491573,-0.519610661,0.736310801,1.00283042,930
"lor[2,9]",1.331508739,0.947832757,-0.502384087,0.801416373,1.300388262,1.804445752,3.335772263,1.00197903,1500
"lor[3,9]",0.023651873,0.830598627,-1.734312678,-0.424175116,0.015905199,0.460896887,1.790406413,1.001903921,1400
"lor[4,9]",0.290661361,0.987460493,-1.580488577,-0.307587539,0.241250468,0.86241019,2.380394044,1.003063781,990
"lor[5,9]",-0.520286855,0.917846214,-2.257371446,-1.043100482,-0.569415641,-0.043285947,1.494325665,1.000904441,3000
"lor[6,9]",-0.150409882,1.04266889,-2.183375483,-0.788239423,-0.169800827,0.444843336,1.973997507,1.003732384,650
"lor[7,9]",0.019856552,0.960514902,-1.868918963,-0.500842733,-0.007558964,0.510686411,2.078703288,1.001203767,2800
"lor[8,9]",1.509648293,2.43161713,-3.28745513,-0.013633794,1.498342598,3.029196564,6.213095458,1.001199751,2900
"lor[1,10]",-3.981447828,1.010904372,-6.023226158,-4.580902552,-3.996781474,-3.379406154,-1.992978304,1.006192631,360
"lor[2,10]",-1.791296322,1.127952912,-4.081268866,-2.411580038,-1.800195086,-1.179434556,0.506835044,1.005157263,430
"lor[3,10]",-3.099153188,1.101145507,-5.327161108,-3.730310688,-3.08974442,-2.416835879,-0.981065452,1.00576824,380
"lor[4,10]",-2.8321437,1.212694354,-5.244314237,-3.542944647,-2.819640271,-2.140266559,-0.519034781,1.008056528,500
"lor[5,10]",-3.643091916,1.16685072,-5.91800918,-4.348774571,-3.644935623,-2.957859147,-1.339321978,1.00349821,670
"lor[6,10]",-3.273214944,1.255039445,-5.72379065,-4.023228587,-3.278191286,-2.502543886,-0.8562601,1.002124818,1200
"lor[7,10]",-3.102948509,1.209390971,-5.497104989,-3.778911448,-3.098965967,-2.444944703,-0.762992193,1.003168949,750
"lor[8,10]",-1.613156768,2.551220186,-6.586250308,-3.189589264,-1.619720152,0.03659406,3.348221942,1.000842509,3000
"lor[9,10]",-3.122805061,1.230347472,-5.580395225,-3.833295038,-3.107642366,-2.426713921,-0.79967212,1.004807564,480
"lor[1,11]",-1.245993696,1.031108185,-3.310324664,-1.869192296,-1.255680882,-0.61860939,0.798714231,1.001837004,1500
"lor[2,11]",0.944157811,1.201240163,-1.404964581,0.227642524,0.923080562,1.668560593,3.360074742,1.001897991,2000
"lor[3,11]",-0.363699056,1.129468019,-2.644906367,-1.025787339,-0.360907038,0.313945168,1.758375091,1.00230732,1400
"lor[4,11]",-0.096689568,1.246202208,-2.577688653,-0.860704788,-0.103000608,0.626358182,2.425388177,1.001234668,2700
"lor[5,11]",-0.907637784,1.155108668,-3.167725687,-1.584799192,-0.961293068,-0.23219673,1.463607395,1.001710752,1700
"lor[6,11]",-0.537760811,1.276865822,-2.991227084,-1.364474691,-0.523941707,0.227443134,2.06701377,1.001770292,3000
"lor[7,11]",-0.367494376,1.2253166,-2.763826738,-1.072979244,-0.384071377,0.330794861,2.038237047,1.001232678,2700
"lor[8,11]",1.122297364,2.567855103,-3.989019712,-0.516599394,1.148181935,2.732974354,6.090167757,1.001291618,2500
"lor[9,11]",-0.387350929,1.1454521,-2.567055318,-1.079059137,-0.406397512,0.313657135,1.893079931,1.00384858,770
"lor[10,11]",2.735454132,1.439790925,-0.224575574,1.836841936,2.751134909,3.603732676,5.628761187,1.001539541,1900
resdev[1],2.041814193,2.022697785,0.046960777,0.573313359,1.415363452,2.906440113,7.404472669,1.002592832,960
resdev[2],1.993893491,1.965495446,0.05185485,0.591894363,1.369305341,2.807221388,7.150178486,1.000609885,3000
resdev[3],83.90621738,84.84726279,2.363354193,24.41590872,51.62951079,121.1450304,323.0096007,1.179843938,23
resdev[4],2.016846795,1.995039137,0.05359756,0.588171252,1.378582391,2.851169059,7.216023087,1.003577421,710
resdev[5],2.055294655,1.999749478,0.056964797,0.624404228,1.438889479,2.866854892,7.446978101,1.000881073,3000
resdev[6],2.012294058,2.092550414,0.040565283,0.559442029,1.343336891,2.772896055,7.607265928,1.000880799,3000
resdev[7],1.910218621,1.897301008,0.040218379,0.544794388,1.318853506,2.65540065,6.987036933,1.00108489,3000
resdev[8],2.140458529,2.112641062,0.055373112,0.625787103,1.509570559,3.013936138,7.648165858,1.001025989,3000
resdev[9],2.038259121,2.037904312,0.057572463,0.554546932,1.390030469,2.902627314,7.358483408,1.000888193,3000
resdev[10],1.999424968,2.032013866,0.05415206,0.553263937,1.362901108,2.744808101,7.708111941,1.000506813,3000
resdev[11],1.998942077,1.953561454,0.05846362,0.590101683,1.425520337,2.749743031,7.385269215,1.003172553,3000
resdev[12],2.060902193,2.031501848,0.053414477,0.624260081,1.446258088,2.879337194,7.419070615,1.001909084,1400
resdev[13],2.048354178,2.065894157,0.050536115,0.570079167,1.414182686,2.839308182,7.565436878,1.004599303,490
resdev[14],2.146292163,1.932543852,0.059356641,0.663306499,1.621098608,3.056006629,7.095832626,1.001292594,3000
resdev[15],1.874679368,1.831158395,0.049008467,0.536091869,1.323837497,2.642938282,6.864722726,1.00455877,490
resdev[16],1.890016324,1.954781037,0.047903579,0.584052662,1.329267536,2.583348481,6.710163435,1.024421569,110
resdev[17],4.956744926,3.198401349,0.871262052,2.633911046,4.245265396,6.485126987,12.99767022,1.000530817,3000
resdev[18],5.019632796,3.254480654,0.807047924,2.646862476,4.331467405,6.653608039,13.20101444,1.00070662,3000
resdev[19],5.026541761,3.210283241,0.786402237,2.708588747,4.325881107,6.729478541,13.19027101,1.000563602,3000
resdev[20],3.589138391,2.792403535,0.286669162,1.571376678,2.897418455,4.93109516,10.8795072,1.001137117,3000
resdev[21],3.016723088,2.38496959,0.213094605,1.254197044,2.406937997,4.171073082,9.347814929,1.002870073,1600
resdev[22],3.008063663,2.476042286,0.244997822,1.221373668,2.368049454,4.027596947,9.496096969,1.000560964,3000
resdev[23],3.022296186,2.456639372,0.18837046,1.216669193,2.384623038,4.085839364,9.248506296,1.000805982,3000
resdev[24],7.085586609,3.781092175,1.728801066,4.294798009,6.383975868,9.198685201,15.81227144,1.001141399,3000
resdev[25],2.887495854,2.348178413,0.21072868,1.189261824,2.283695167,3.920869551,8.998998867,1.000900449,3000
resdev[26],2.079856967,2.065409906,0.064443208,0.612449719,1.448230422,2.810146096,7.710103854,1.015494723,140
resdev[27],1.821603948,1.812365501,0.043952098,0.518665157,1.270838913,2.507213721,6.668264245,1.007579483,300
rk[1],10,1.012805418,8,10,10,11,11,1.002119303,1200
rk[2],3,1.267612784,2,2,3,3,7,1.00105212,3000
rk[3],7,1.845848118,3,5,7,8,10,1.003141197,760
rk[4],6,2.173736552,2,4,5,7,10,1.001592118,1800
rk[5],9,1.969857299,4,8,9,10,11,1.000950561,3000
rk[6],7,2.384063181,3,5,7,9,11,1.001231881,2700
rk[7],7,2.073567244,3,5,7,8,11,1.000507998,3000
rk[8],4,3.466871927,1,2,2,6,11,1.001580595,1900
rk[9],7,2.190611288,3,5,7,8,11,1.002996103,800
rk[10],1,0.785801534,1,1,1,2,3,1.003755809,1900
rk[11],6,2.688179453,2,3,5,8,11,1.000978656,3000
sdALL,0.467755505,0.415994596,0.02014093,0.173415744,0.357570201,0.646132229,1.560390767,1.001719922,1600
sdCC,0.969068449,0.162125516,0.697616096,0.854949708,0.94954847,1.062859682,1.347213217,1.000546179,3000
sdPC,3.394153794,2.704785341,0.148119116,1.112592787,2.594160562,5.307009882,9.30424622,1.000606607,3000
sdRC,0.935099736,1.119439585,0.040006839,0.307029586,0.585470862,1.122734422,4.072684751,1.00352585,1600
sdRCT,2.172447653,0.611881866,1.329563975,1.755658499,2.06742005,2.456721796,3.606091413,1.002930392,820
totresdev,155.6475923,86.64953318,67.3325004,94.21464722,124.0717181,191.7782129,396.6766913,1.034370571,82
