,mean,sd,2.50%,25%,50%,75%,97.50%,Rhat,n.eff
d[1],0,0,0,0,0,0,0,1,1
d[2],-0.636896877,2.068979541,-4.707237191,-1.61099134,-0.692046925,0.344745119,3.758718392,1.006073911,3000
d[3],-1.260436841,2.966429511,-7.38354963,-2.685104955,-1.250752629,0.208312762,5.080153401,1.008714091,260
d[4],-0.855061103,2.23031564,-5.260578285,-1.922153021,-0.843152659,0.168925747,3.845358529,1.002355345,3000
d[5],-1.208328407,3.178655877,-7.813380524,-2.82743804,-1.178908461,0.427718044,5.322285619,1.000813852,3000
d[6],-0.399894205,3.209221745,-6.939666078,-2.064259052,-0.427056768,1.213366221,6.449913729,1.002524284,2600
d[7],0.079118672,2.670362473,-5.564322896,-1.138214136,0.064561606,1.334577057,5.575924031,1.002765844,3000
d[8],0.494686982,4.441211715,-9.065965494,-1.671576931,0.602227332,2.687520674,9.436773471,1.000976581,3000
d[9],-0.620171092,3.151165234,-6.705115329,-2.224611538,-0.666933563,0.896600186,6.370797818,1.003173271,1100
d[10],-1.831460266,3.717861111,-9.290891491,-3.636115945,-2.002691925,-0.129736287,6.893945018,1.001060041,3000
d[11],-0.771187406,2.584511087,-5.73015841,-2.370212222,-0.944949045,0.721146307,4.59768795,1.014122381,160
deviance,240.3988349,10.43548283,222.6627852,232.5716421,239.8780761,246.9872661,262.4926975,1.161986144,17
"lor[1,2]",-0.636896877,2.068979541,-4.707237191,-1.61099134,-0.692046925,0.344745119,3.758718392,1.006073911,3000
"lor[1,3]",-1.260436841,2.966429511,-7.38354963,-2.685104955,-1.250752629,0.208312762,5.080153401,1.008714091,260
"lor[2,3]",-0.623539963,3.583397382,-8.038711722,-2.388151674,-0.516217718,1.19521966,6.870195145,1.006918327,360
"lor[1,4]",-0.855061103,2.23031564,-5.260578285,-1.922153021,-0.843152659,0.168925747,3.845358529,1.002355345,3000
"lor[2,4]",-0.218164225,3.045539899,-6.63395687,-1.628343318,-0.141280715,1.168554758,6.031189198,1.007416366,3000
"lor[3,4]",0.405375738,3.769104127,-7.865744672,-1.521716691,0.400841757,2.292311355,8.371792661,1.007130807,380
"lor[1,5]",-1.208328407,3.178655877,-7.813380524,-2.82743804,-1.178908461,0.427718044,5.322285619,1.000813852,3000
"lor[2,5]",-0.571431529,3.911437966,-8.608494761,-2.460306845,-0.544001442,1.388754303,7.023888601,1.001049839,3000
"lor[3,5]",0.052108434,4.311854675,-9.212196134,-2.238804024,0.033461705,2.421342161,8.703021317,1.005816516,640
"lor[4,5]",-0.353267304,3.915531565,-8.153016598,-2.302458747,-0.347805433,1.575906805,7.42026604,1.00249998,3000
"lor[1,6]",-0.399894205,3.209221745,-6.939666078,-2.064259052,-0.427056768,1.213366221,6.449913729,1.002524284,2600
"lor[2,6]",0.237002672,3.791515291,-7.401753973,-1.665384839,0.142211024,2.065592168,8.489984803,1.003619291,1500
"lor[3,6]",0.860542635,4.362881157,-7.807065788,-1.492863511,0.853382096,3.131033017,9.787845287,1.004793174,580
"lor[4,6]",0.455166897,3.868280773,-7.25335346,-1.587492638,0.420267368,2.420943422,8.54358979,1.003468273,2400
"lor[5,6]",0.808434201,4.007510991,-7.302571106,-1.13892074,0.670990275,2.547761909,9.010952165,1.001315515,3000
"lor[1,7]",0.079118672,2.670362473,-5.564322896,-1.138214136,0.064561606,1.334577057,5.575924031,1.002765844,3000
"lor[2,7]",0.71601555,3.390476095,-6.680167113,-0.813565098,0.734449716,2.296431299,7.661594239,1.006976057,3000
"lor[3,7]",1.339555513,3.972318904,-7.088001286,-0.656909515,1.348414388,3.363022844,9.323876351,1.005984871,510
"lor[4,7]",0.934179775,3.52214972,-6.351776915,-0.737933108,0.95521377,2.593424992,8.322475913,1.002253453,3000
"lor[5,7]",1.287447079,4.099176128,-6.845587103,-0.81613663,1.346672818,3.254472975,9.721596898,1.001149753,3000
"lor[6,7]",0.479012878,4.172358472,-8.332787206,-1.455821051,0.543458324,2.59392455,8.803518294,1.003105114,2000
"lor[1,8]",0.494686982,4.441211715,-9.065965494,-1.671576931,0.602227332,2.687520674,9.436773471,1.000976581,3000
"lor[2,8]",1.13158386,4.975406906,-9.47471661,-1.271525648,1.249866352,3.569280649,11.26044495,1.001259591,3000
"lor[3,8]",1.755123823,5.321336753,-9.74449314,-0.889825569,1.867219368,4.44484927,12.75249288,1.00154578,1900
"lor[4,8]",1.349748085,5.006190587,-9.056207597,-1.110071177,1.360561156,3.807269083,11.97884335,1.001034122,3000
"lor[5,8]",1.703015389,5.353485835,-9.554642193,-1.11162107,1.706331797,4.499261454,12.28321534,1.000835896,3000
"lor[6,8]",0.894581188,5.394628897,-10.59909155,-1.951774352,0.95520522,3.798662869,11.9408835,1.000776864,3000
"lor[7,8]",0.41556831,5.073019601,-10.63467276,-2.162201595,0.558744255,2.984377753,10.66104274,1.001155762,3000
"lor[1,9]",-0.620171092,3.151165234,-6.705115329,-2.224611538,-0.666933563,0.896600186,6.370797818,1.003173271,1100
"lor[2,9]",0.016725785,3.781501066,-7.572436523,-1.902269221,-0.052183872,1.854311893,8.029681918,1.006714282,890
"lor[3,9]",0.640265749,4.381512161,-8.233951014,-1.651896607,0.63112458,2.848622516,9.905029015,1.005357282,470
"lor[4,9]",0.234890011,3.614368896,-7.158423823,-1.455751316,0.300265794,1.904626711,7.80528728,1.002820929,1100
"lor[5,9]",0.588157315,4.538997224,-8.256705036,-1.686775652,0.540104329,2.790670657,10.4110772,1.001493954,2000
"lor[6,9]",-0.220276887,4.496204478,-9.36339403,-2.44369527,-0.218659922,1.982428768,9.064341919,1.002088676,3000
