,mean,sd,2.50%,25%,50%,75%,97.50%,Rhat,n.eff,,,,,,,,,,,,,,,,,,,,
d[1],0,0,0,0,0,0,0,1,1,,1,2,,,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
d[2],0.554905399,0.840368145,-1.379815442,0.16459252,0.629322741,1.056425321,2.044170779,1.004198323,540,1,-,1.741776204,0.251624988,7.722752011,,,,,,,,,,,,,,,
d[3],-2.029276976,0.498877493,-3.03359807,-2.330033091,-2.016748252,-1.701845317,-1.101582082,1.001999482,2400,2,,-,,,,,,,,,,,,,,,,,
d[4],-1.936993586,0.582332974,-3.208904307,-2.272914864,-1.896806407,-1.546135111,-0.903166393,1.001904156,1400,3,,,-,,,,,,,,,,,,,,,,
d[5],-0.611163263,0.793091693,-2.418199393,-1.081773246,-0.52196869,-0.053980741,0.726421326,1.002919048,890,4,,,,,,,,,,,,,,,,,,,
d[6],-0.695551319,1.202723371,-3.136226664,-1.452360153,-0.67841431,0.067721552,1.663130864,1.000762114,3000,5,,,,,,,,,,,,,,,,,,,
d[7],-1.564163921,0.892069059,-3.560774915,-2.00730786,-1.497423439,-1.027585523,0.003968287,1.001916561,2000,6,,,,,,,,,,,,,,,,,,,
d[8],-0.686229531,0.908305829,-2.657227696,-1.209209459,-0.615548996,-0.098971249,0.918952141,1.007322634,300,7,,,,,,,,,,,,,,,,,,,
d[9],-0.618312831,0.752717218,-2.306440977,-1.040519328,-0.561751715,-0.140457935,0.696295868,1.001943728,3000,8,,,,,,,,,,,,,,,,,,,
d[10],-0.780571527,0.530566183,-1.840989011,-1.110026472,-0.77008998,-0.435048535,0.27844959,1.001911079,1400,9,,,,,,,,,,,,,,,,,,,
d[11],-0.866162002,0.640319954,-2.213966937,-1.242589194,-0.850044641,-0.466963933,0.331148791,1.001821204,1500,10,,,,,,,,,,,,,,,,,,,
d[12],-0.54354477,0.60742049,-1.821669864,-0.898597853,-0.51954865,-0.14618134,0.597240378,1.002838663,920,11,,,,,,,,,,,,,,,,,,,
d[13],-0.190269,0.896491521,-2.204304333,-0.652995746,-0.134219518,0.342157454,1.390782262,1.001995552,1400,12,,,,,,,,,,,,,,,,,,,
d[14],-2.351205879,1.061802594,-4.470141258,-3.017014342,-2.341635043,-1.671195155,-0.26061511,1.001527747,2500,13,,,,,,,,,,,,,,,,,,,
d[15],-3.799430312,2.426394043,-8.333976933,-5.407866828,-3.847299982,-2.331931638,1.069365039,1.000859393,3000,14,,,,,,,,,,,,,,,,,,,
d[16],-3.075156636,1.219166486,-5.505628608,-3.84060125,-3.107729001,-2.317112351,-0.566523106,1.00083072,3000,15,,,,,,,,,,,,,,,,,,,
d[17],-3.310636227,2.236754345,-7.784106799,-4.687088969,-3.282820198,-1.875650244,1.109461663,1.002896052,840,16,,,,,,,,,,,,,,,,,,,
deviance,847.6136604,14.76035608,820.3978412,837.289943,846.8204816,857.0925553,877.9882155,1.003504897,670,17,,,,,,,,,,,,,,,,,,,
"lor[1,2]",0.554905399,0.840368145,-1.379815442,0.16459252,0.629322741,1.056425321,2.044170779,1.004198323,540,,,,,,,,,,,,,,,,,,,,
"lor[1,3]",-2.029276976,0.498877493,-3.03359807,-2.330033091,-2.016748252,-1.701845317,-1.101582082,1.001999482,2400,,,,,,,,,,,,,,,,,,,,
"lor[2,3]",-2.584182375,0.823479331,-4.2001642,-3.009498452,-2.638738461,-2.205126563,-0.714639083,1.006787038,320,,,,,,,,,,,,,,,,,,,,
"lor[1,4]",-1.936993586,0.582332974,-3.208904307,-2.272914864,-1.896806407,-1.546135111,-0.903166393,1.001904156,1400,,,,,,,,,,,,,,,,,,,,
"lor[2,4]",-2.491898986,0.825321667,-4.164806137,-2.905248147,-2.506107133,-2.07510744,-0.72316249,1.006478434,340,,,,,,,,,,,,,,,,,,,,
