,mean,sd,2.50%,25%,50%,75%,97.50%,Rhat,n.eff
d[1],0,0,0,0,0,0,0,1,1
d[2],2.229024764,5.608907225,-9.974554256,-0.463595235,2.282419621,5.038046634,14.44604556,1.001266683,2600
d[3],-1.147746597,0.51158963,-2.203468809,-1.450677924,-1.145917913,-0.828660388,-0.147539506,1.001717946,2300
d[4],-2.211657123,0.634527035,-3.479969648,-2.589192844,-2.220795601,-1.836473298,-0.919542432,1.008982423,270
d[5],-0.732649862,0.973516805,-2.630938672,-1.234500501,-0.767118719,-0.274006525,1.320433053,1.007863606,3000
d[6],-1.015129417,0.901323101,-2.78574747,-1.480340647,-1.0409316,-0.550929857,0.807169378,1.00407402,2400
d[7],-1.375905983,0.528539894,-2.342905891,-1.711961582,-1.411202439,-1.072026584,-0.266769833,1.004470791,510
d[8],-1.077530598,0.656584719,-2.327016013,-1.462604246,-1.101919242,-0.71924384,0.315108755,1.000621969,3000
d[9],-1.263032493,0.678721159,-2.583466024,-1.651278567,-1.281967298,-0.885280019,0.09225817,1.000673398,3000
d[10],-0.664529938,0.911662763,-2.402063647,-1.147835072,-0.672788533,-0.194776564,1.191262312,1.000577672,3000
d[11],-4.009152339,1.475645107,-6.969959304,-4.951376351,-3.994668424,-3.074626277,-1.235713693,1.083520852,29
d[12],-2.927873013,0.860279531,-4.626974841,-3.47100352,-2.931473318,-2.390889908,-1.223664484,1.00291984,830
deviance,448.4366446,19.15084058,422.1142042,435.9565679,444.2030229,456.6556168,500.1031902,1.068779447,36
"lor[1,2]",2.229024764,5.608907225,-9.974554256,-0.463595235,2.282419621,5.038046634,14.44604556,1.001266683,2600
"lor[1,3]",-1.147746597,0.51158963,-2.203468809,-1.450677924,-1.145917913,-0.828660388,-0.147539506,1.001717946,2300
"lor[2,3]",-3.376771361,5.632994477,-15.60606339,-6.253032327,-3.424308204,-0.661850253,9.053360319,1.001416138,2200
"lor[1,4]",-2.211657123,0.634527035,-3.479969648,-2.589192844,-2.220795601,-1.836473298,-0.919542432,1.008982423,270
"lor[2,4]",-4.440681887,5.641057881,-16.67597592,-7.295091264,-4.499268646,-1.75130834,8.058739092,1.001740769,1600
"lor[3,4]",-1.063910526,0.793391178,-2.55899273,-1.550634832,-1.080599954,-0.604448155,0.522347142,1.003926456,590
"lor[1,5]",-0.732649862,0.973516805,-2.630938672,-1.234500501,-0.767118719,-0.274006525,1.320433053,1.007863606,3000
"lor[2,5]",-2.961674626,5.550527656,-15.32255621,-5.667754073,-3.063708399,-0.375746315,9.478431631,1.001193085,2900
"lor[3,5]",0.415096735,1.059223929,-1.588648653,-0.156530746,0.36362113,0.949252467,2.618330584,1.00790672,2600
"lor[4,5]",1.479007261,1.150138537,-0.861014467,0.862908301,1.496458296,2.045922123,3.847244528,1.007428384,870
"lor[1,6]",-1.015129417,0.901323101,-2.78574747,-1.480340647,-1.0409316,-0.550929857,0.807169378,1.00407402,2400
"lor[2,6]",-3.244154181,5.702319386,-15.49439016,-6.115716866,-3.293697028,-0.485814296,8.986594648,1.001407604,2200
"lor[3,6]",0.13261718,1.028053776,-1.838844138,-0.420730177,0.091446635,0.676524651,2.239244652,1.003682718,3000
"lor[4,6]",1.196527706,1.077075753,-0.925911345,0.614720853,1.192502888,1.793054526,3.412662016,1.005207306,2600
"lor[5,6]",-0.282479555,1.310719737,-2.945949757,-0.914060432,-0.296513922,0.407020982,2.18999909,1.008410277,3000
"lor[1,7]",-1.375905983,0.528539894,-2.342905891,-1.711961582,-1.411202439,-1.072026584,-0.266769833,1.004470791,510
"lor[2,7]",-3.604930747,5.642114708,-15.98194379,-6.440584235,-3.647264773,-0.844231856,8.731488909,1.001498059,2000
"lor[3,7]",-0.228159386,0.713587253,-1.557473879,-0.674130689,-0.277357047,0.200223739,1.260061284,1.002378398,1300
"lor[4,7]",0.83575114,0.795895196,-0.736222864,0.348159352,0.801198666,1.288308756,2.503619661,1.001285408,2500
"lor[5,7]",-0.643256121,1.051215589,-2.78932951,-1.212873234,-0.678938968,-0.087130957,1.533483207,1.004702341,2000
"lor[6,7]",-0.360776566,1.015309613,-2.296276143,-0.927552087,-0.409878075,0.15900278,1.80949753,1.004044379,3000
"lor[1,8]",-1.077530598,0.656584719,-2.327016013,-1.462604246,-1.101919242,-0.71924384,0.315108755,1.000621969,3000
"lor[2,8]",-3.306555363,5.626654617,-15.85833682,-6.13583711,-3.330603828,-0.593817086,9.079082328,1.001211495,2800
"lor[3,8]",0.070215998,0.810603129,-1.486672872,-0.400598876,0.041076142,0.526293243,1.811407502,1.00115633,3000
"lor[4,8]",1.134126524,0.896350393,-0.715030207,0.615349627,1.147581188,1.66270339,2.948529142,1.00534404,410
"lor[5,8]",-0.344880736,1.094058923,-2.652814028,-0.881771507,-0.340496069,0.242524557,1.834510667,1.004141731,3000
"lor[6,8]",-0.062401181,1.065848584,-2.24566928,-0.609180242,-0.071529636,0.47705626,2.112690367,1.001913068,2100
"lor[7,8]",0.298375385,0.791955319,-1.363354084,-0.119381032,0.335561823,0.761613985,1.81900218,1.003205963,760
"lor[1,9]",-1.263032493,0.678721159,-2.583466024,-1.651278567,-1.281967298,-0.885280019,0.09225817,1.000673398,3000
"lor[2,9]",-3.492057257,5.641031253,-15.71499952,-6.412808935,-3.537516597,-0.726918405,8.758710369,1.001323477,2400
"lor[3,9]",-0.115285896,0.842923709,-1.734170313,-0.61621432,-0.127762807,0.339145924,1.53767879,1.000893229,3000
"lor[4,9]",0.94862463,0.911141765,-0.831948615,0.390557658,0.956502037,1.466572637,2.79444386,1.003444098,790
"lor[5,9]",-0.530382631,1.126885128,-3.012869255,-1.104562345,-0.523945234,0.07619026,1.648954588,1.002505929,3000
"lor[6,9]",-0.247903076,1.097910722,-2.458495948,-0.824876716,-0.245817705,0.321994644,1.992446513,1.001975177,3000
"lor[7,9]",0.11287349,0.815254594,-1.635212242,-0.349635869,0.156127174,0.614746511,1.651525343,1.001391868,2200
"lor[8,9]",-0.185501895,0.872540493,-1.985869529,-0.683512534,-0.173467384,0.324276621,1.61084864,1.000847145,3000
"lor[1,10]",-0.664529938,0.911662763,-2.402063647,-1.147835072,-0.672788533,-0.194776564,1.191262312,1.000577672,3000
"lor[2,10]",-2.893554702,5.674655447,-15.04763285,-5.718339771,-2.954144221,-0.176065678,9.63399322,1.001250311,2700
"lor[3,10]",0.483216659,1.003862181,-1.467944378,-0.053459496,0.462076559,1.024034833,2.593657163,1.000774845,3000
"lor[4,10]",1.547127185,1.101542935,-0.731624935,0.958783467,1.541389712,2.132877702,3.770789663,1.003568051,650
"lor[5,10]",0.068119924,1.282537952,-2.608280924,-0.545781872,0.074675392,0.719144547,2.534598033,1.006970223,3000
"lor[6,10]",0.35059948,1.207010087,-2.166379311,-0.249881652,0.361301323,0.926120511,2.809655499,1.002828628,2700
"lor[7,10]",0.711376045,1.014300257,-1.454909861,0.186883671,0.760721823,1.267148903,2.650996092,1.002051604,1300
"lor[8,10]",0.413000661,1.075935809,-1.747001762,-0.138013832,0.44170495,1.001246798,2.554859237,1.000529694,3000
"lor[9,10]",0.598502556,1.098974113,-1.602750307,-0.013906294,0.599295288,1.190846611,2.891176219,1.000705156,3000
"lor[1,11]",-4.009152339,1.475645107,-6.969959304,-4.951376351,-3.994668424,-3.074626277,-1.235713693,1.083520852,29
"lor[2,11]",-6.238177103,5.769358738,-18.77176523,-9.252820845,-6.319906915,-3.34192886,6.290875971,1.005718615,390
"lor[3,11]",-2.861405742,1.547530879,-6.076821297,-3.807974952,-2.824682198,-1.87022657,0.146855018,1.07600799,32
"lor[4,11]",-1.797495216,1.483179324,-4.714451994,-2.701268458,-1.80730458,-0.853590652,1.091721816,1.066815205,35
"lor[5,11]",-3.276502477,1.789998433,-6.898951366,-4.341593184,-3.256621069,-2.12595223,0.031194972,1.050481648,46
"lor[6,11]",-2.994022922,1.696349718,-6.460529556,-4.022757167,-2.941167749,-1.933903662,0.252762941,1.053904216,42
"lor[7,11]",-2.633246356,1.549125904,-5.842215395,-3.567750618,-2.591883877,-1.634788251,0.247867099,1.064846474,36
"lor[8,11]",-2.931621741,1.607257034,-6.189189765,-3.927721757,-2.911415088,-1.936905381,0.147884363,1.070491394,34
"lor[9,11]",-2.746119846,1.626538089,-5.883871708,-3.754198139,-2.727141382,-1.710175156,0.479105782,1.064905184,36
"lor[10,11]",-3.344622401,1.712353583,-6.806807356,-4.390133355,-3.344553473,-2.258388682,0.002129901,1.062561792,37
"lor[1,12]",-2.927873013,0.860279531,-4.626974841,-3.47100352,-2.931473318,-2.390889908,-1.223664484,1.00291984,830
"lor[2,12]",-5.156897777,5.667865314,-17.47209924,-8.170102699,-5.177932887,-2.353390385,7.267697469,1.001537369,1900
"lor[3,12]",-1.780126417,0.901378391,-3.554935323,-2.336489115,-1.791970697,-1.230526996,0.004291396,1.001987231,1300
"lor[4,12]",-0.716215891,1.061355659,-2.829856758,-1.387075655,-0.700382207,-0.057215826,1.380726772,1.005478588,400
"lor[5,12]",-2.195223151,1.302032087,-4.862985174,-2.919094032,-2.167617051,-1.44941443,0.328593783,1.004044275,960
"lor[6,12]",-1.912743596,1.243136421,-4.457996781,-2.631878387,-1.889500178,-1.204359808,0.588156584,1.002564884,970
"lor[7,12]",-1.55196703,1.00247153,-3.528177618,-2.214749051,-1.516598242,-0.906087633,0.448400246,1.004186852,540
"lor[8,12]",-1.850342415,1.08640663,-4.033178952,-2.512720367,-1.836557169,-1.209091327,0.378824508,1.00197576,1400
"lor[9,12]",-1.66484052,1.104473669,-3.848696363,-2.321663464,-1.652182838,-1.009641881,0.571292999,1.002141324,1200
"lor[10,12]",-2.263343076,1.256168514,-4.761344464,-3.025803289,-2.250351019,-1.506588607,0.284136432,1.001316119,2400
"lor[11,12]",1.081279326,1.717005069,-2.297461156,-0.071322694,1.084514774,2.16395018,4.50194752,1.071852118,33
resdev[1],1.572625924,1.462554129,0.05533223,0.541376786,1.103260577,2.160694337,5.760690626,1.084212756,36
resdev[2],2.026761292,2.030114943,0.048676891,0.594126284,1.417990589,2.727854289,7.231676766,1.00191039,1400
resdev[3],2.000945801,2.050159874,0.050824858,0.577402377,1.319103503,2.804645701,7.606591639,1.001034979,3000
resdev[4],2.004583396,2.043995027,0.053571421,0.54999338,1.353127156,2.817411087,7.398367024,1.002773582,880
resdev[5],2.112235612,2.044320365,0.054418846,0.632214476,1.495343493,2.945673718,7.640843314,1.002795531,1000
resdev[6],1.949878623,1.945054683,0.052528986,0.550725631,1.345488883,2.713026166,7.216939453,1.00136415,2300
resdev[7],1.837752478,1.864639964,0.040928082,0.521789569,1.264754145,2.563239458,6.610826435,1.000575123,3000
resdev[8],7.67531549,12.14914017,0.033628149,0.894187528,1.797945262,8.769970713,43.34474657,1.055513494,51
resdev[9],2.836072968,2.393039092,0.178876564,1.115760503,2.193824652,3.893183005,9.206980323,1.007275721,300
resdev[10],2.247201602,1.970780982,0.080868426,0.773895799,1.68958724,3.182589511,7.354727467,1.021261547,140
resdev[11],3.013109607,2.793089372,0.140868937,0.972882426,2.187092923,3.933722146,10.91320188,1.019169689,140
resdev[12],8.560110545,4.079552098,2.40560577,5.591356312,7.922152917,10.78644466,18.46791308,1.001304749,2500
resdev[13],1.814027672,1.751036803,0.05362889,0.541779215,1.321181907,2.484179394,6.55023653,1.000826945,3000
resdev[14],2.048874209,2.058365096,0.063777323,0.596812605,1.435107009,2.785831481,7.536708367,1.004345421,520
resdev[15],2.944117386,2.348545274,0.2192326,1.206012606,2.326616936,4.007725203,9.063174198,1.001411773,2200
resdev[16],1.951509138,1.947654066,0.043212291,0.56760053,1.3360538,2.682914066,7.299759686,1.000588937,3000
resdev[17],3.129544317,2.509520266,0.209951923,1.281509627,2.513004565,4.252041469,9.504423394,1.001706736,3000
resdev[18],2.026683971,2.081833574,0.042910534,0.562237559,1.372877846,2.800325796,7.864489814,1.000684319,3000
resdev[19],3.033423558,2.6234967,0.098777124,1.062296982,2.352317986,4.208890059,9.686189499,1.004337938,1500
resdev[20],1.962085457,1.852097798,0.074709523,0.617690056,1.422571403,2.756106868,6.804611476,1.091618059,28
resdev[21],1.896494205,1.884896143,0.046710837,0.542358662,1.336617914,2.625496551,7.047271456,1.002855286,850
resdev[22],3.985459999,2.793235547,0.494510533,1.896361639,3.377353883,5.344309513,10.89343285,1.001502862,2000
resdev[23],2.043815313,2.544709975,0.030495485,0.469110096,1.181157625,2.594884651,9.26230036,1.012331823,220
resdev[24],3.636177213,3.095418883,0.093453589,1.10462967,2.803387896,5.550735673,11.24691025,1.326687278,10
rk[1],10.718,0.980202155,8,10,11,11,12,1.00277526,1900
rk[2],9.774,3.983074059,1,10,12,12,12,1.002299948,1300
rk[3],6.844333333,1.923538724,3,5,7,8,10,1.001664393,1700
rk[4],3.494333333,1.524710728,1,3,3,4,8,1.001726333,1800
rk[5],8.178,2.423552599,3,7,9,10,12,1.000966393,3000
rk[6],7.236,2.474876227,3,5,7,9,11,1.00067095,3000
rk[7],5.780333333,1.936835133,3,4,5,7,10,1.001533814,1900
rk[8],7.032666667,2.136926541,3,5,7,9,11,1.004936357,830
rk[9],6.337333333,2.20298826,2,5,6,8,11,1.001940631,2200
rk[10],8.470333333,2.376201871,3,7,9,10,12,1.000856115,3000
rk[11],1.706,1.456572873,1,1,1,2,6,1.071116103,49
rk[12],2.428666667,1.393637554,1,2,2,3,6,1.019687681,120
