,mean,sd,2.50%,25%,50%,75%,97.50%,Rhat,n.eff
d[1],0,0,0,0,0,0,0,1,1
d[2],1.738809224,2.055162506,-2.313590923,0.709280183,1.73037132,2.813722258,5.64308895,1.020303874,320
d[3],-1.388836047,1.264662569,-4.008897338,-2.095798495,-1.309919084,-0.640815404,0.978906139,1.001039988,3000
d[4],-1.181461509,1.755272405,-4.677405549,-2.104423771,-1.162682461,-0.24308103,2.478223132,1.006145779,530
d[5],-0.466542475,1.85980806,-4.219774567,-1.480354258,-0.503186029,0.546271205,3.31803223,1.009019097,370
d[6],-1.683058893,2.718324103,-7.061913703,-3.130098587,-1.574825507,-0.185433407,3.882071265,1.01479765,200
d[7],0.390348207,1.755310899,-3.30927646,-0.540111975,0.382510481,1.370724293,4.048473388,1.005715192,410
d[8],0.034665776,2.38659909,-4.782574958,-1.183287749,0.017254409,1.234453032,4.938627095,1.003855911,3000
d[9],-0.301863988,1.138978722,-2.650898136,-0.921659138,-0.258632289,0.33047951,1.900651802,1.003007244,3000
d[10],-0.113707766,2.391558166,-5.028139564,-1.343283509,-0.160542281,1.100171851,5.223480992,1.000789383,3000
d[11],-3.851849735,2.231328902,-8.678030375,-5.122460839,-3.821300329,-2.606260471,0.639136597,1.004315372,990
deviance,243.7689441,8.570817097,228.8920303,237.7211443,243.1607893,249.289694,261.9555264,1.00310765,770
"lor[1,2]",1.738809224,2.055162506,-2.313590923,0.709280183,1.73037132,2.813722258,5.64308895,1.020303874,320
"lor[1,3]",-1.388836047,1.264662569,-4.008897338,-2.095798495,-1.309919084,-0.640815404,0.978906139,1.001039988,3000
"lor[2,3]",-3.127645271,2.32043536,-7.686209573,-4.348497735,-3.145599272,-1.92568122,1.675307263,1.014025993,600
"lor[1,4]",-1.181461509,1.755272405,-4.677405549,-2.104423771,-1.162682461,-0.24308103,2.478223132,1.006145779,530
"lor[2,4]",-2.920270733,2.028057823,-7.20148802,-3.993253168,-2.901547141,-1.88672051,1.207700027,1.012981824,320
"lor[3,4]",0.207374538,2.025409019,-3.9748472,-0.93248133,0.224894908,1.405170602,4.101720998,1.002670817,930
"lor[1,5]",-0.466542475,1.85980806,-4.219774567,-1.480354258,-0.503186029,0.546271205,3.31803223,1.009019097,370
"lor[2,5]",-2.205351699,2.052328622,-6.20674563,-3.227791732,-2.13915807,-1.177020953,1.796528139,1.011721476,640
"lor[3,5]",0.922293572,2.069822935,-3.42365263,-0.208706254,0.984259682,2.091909752,5.005370765,1.00471839,560
"lor[4,5]",0.714919034,1.952538221,-3.348316968,-0.315342708,0.694199435,1.777587004,4.52883395,1.011647526,180
"lor[1,6]",-1.683058893,2.718324103,-7.061913703,-3.130098587,-1.574825507,-0.185433407,3.882071265,1.01479765,200
"lor[2,6]",-3.421868117,2.576157048,-8.678011909,-4.745072342,-3.33493107,-2.098033036,1.925804794,1.011074267,370
"lor[3,6]",-0.294222846,2.913892674,-6.02613288,-1.862673685,-0.189535549,1.324180579,5.51297709,1.012202922,260
"lor[4,6]",-0.501597384,2.69574178,-5.556740217,-1.945377886,-0.471602073,0.939013713,4.849297241,1.018538047,140
"lor[5,6]",-1.216516418,2.732113803,-6.805470971,-2.670866417,-1.200920098,0.146394078,4.576444513,1.007457866,830
"lor[1,7]",0.390348207,1.755310899,-3.30927646,-0.540111975,0.382510481,1.370724293,4.048473388,1.005715192,410
"lor[2,7]",-1.348461017,1.874156774,-5.626194484,-2.06763215,-1.190770601,-0.549675779,2.319342739,1.013716248,3000
"lor[3,7]",1.779184254,2.019919243,-2.551457988,0.643358783,1.809290631,2.915573937,5.867868433,1.002738652,950
"lor[4,7]",1.571809716,1.816510387,-2.226848622,0.653193395,1.582457852,2.568675082,5.206743563,1.004405576,510
"lor[5,7]",0.856890682,1.842572034,-2.930548623,-0.100819643,0.83340542,1.79444662,4.673914601,1.007940739,470
"lor[6,7]",2.0734071,2.598465569,-3.692980873,0.746561311,2.063654116,3.447570825,7.048913561,1.0118596,270
"lor[1,8]",0.034665776,2.38659909,-4.782574958,-1.183287749,0.017254409,1.234453032,4.938627095,1.003855911,3000
"lor[2,8]",-1.704143447,2.877744268,-7.856941914,-3.164039374,-1.636208627,-0.264730254,4.037331632,1.010184857,630
"lor[3,8]",1.423501823,2.569394457,-4.064638875,0.10212313,1.487123253,2.841106076,6.329101975,1.002131526,3000
"lor[4,8]",1.216127285,2.653740233,-4.239175369,-0.124372293,1.18749762,2.590673182,6.595749843,1.004356951,1700
"lor[5,8]",0.501208251,2.652341015,-5.336125053,-0.79040024,0.530023339,1.844470154,5.605098152,1.00826339,640
"lor[6,8]",1.717724669,3.341270979,-5.096644515,-0.062364292,1.680128782,3.578986922,8.209385855,1.011232443,280
"lor[7,8]",-0.355682431,2.637817571,-5.901600128,-1.668967854,-0.306914895,0.968699799,4.976697338,1.006145402,980
"lor[1,9]",-0.301863988,1.138978722,-2.650898136,-0.921659138,-0.258632289,0.33047951,1.900651802,1.003007244,3000
"lor[2,9]",-2.040673212,1.976700413,-5.933239168,-2.993819197,-2.001628945,-1.097814827,1.904484272,1.022504802,240
"lor[3,9]",1.086972059,1.564381316,-2.113774149,0.209131873,1.075187773,1.967871267,4.312336049,1.001681226,2300
"lor[4,9]",0.879597521,1.764166128,-2.655121009,-0.056731994,0.883662107,1.819531872,4.33817816,1.009488608,560
"lor[5,9]",0.164678487,1.85225901,-3.558346346,-0.806301515,0.169218119,1.144387369,3.829492365,1.009060807,280
"lor[6,9]",1.381194905,2.658680738,-4.087993723,-0.077073062,1.355946146,2.763484664,6.688989972,1.017706041,170
"lor[7,9]",-0.692212195,1.719429345,-4.175964089,-1.607235298,-0.703134802,0.19873069,2.80257781,1.009069355,310
"lor[8,9]",-0.336529764,2.425664327,-5.299575166,-1.573835663,-0.331388612,0.8977482,4.615153319,1.006201298,3000
"lor[1,10]",-0.113707766,2.391558166,-5.028139564,-1.343283509,-0.160542281,1.100171851,5.223480992,1.000789383,3000
"lor[2,10]",-1.85251699,2.864966504,-7.493859993,-3.292771683,-1.816567909,-0.372260152,3.825723938,1.004956839,1100
"lor[3,10]",1.275128281,2.590983126,-4.092527249,-0.091865111,1.333928611,2.632294623,6.604582675,1.001375674,3000
"lor[4,10]",1.067753743,2.645248208,-4.246980326,-0.292248174,0.985035826,2.400439608,6.830068913,1.002689452,1300
"lor[5,10]",0.352834709,2.661750375,-5.304046636,-0.974338822,0.427697457,1.708136911,5.803221137,1.00216389,1200
"lor[6,10]",1.569351127,3.357162277,-5.155885319,-0.221924676,1.528443197,3.327812701,8.29278487,1.008151169,390
"lor[7,10]",-0.504055973,2.641354374,-5.905872917,-1.836614392,-0.494132051,0.777086629,5.049916296,1.001603361,2000
"lor[8,10]",-0.148373542,3.073010297,-6.479919447,-1.633141238,-0.177880166,1.343482007,6.233351533,1.001631682,3000
"lor[9,10]",0.188156222,2.464157989,-5.11898105,-1.073583084,0.136694617,1.439936555,5.648367153,1.001795293,3000
"lor[1,11]",-3.851849735,2.231328902,-8.678030375,-5.122460839,-3.821300329,-2.606260471,0.639136597,1.004315372,990
"lor[2,11]",-5.590658959,2.995998083,-11.28225952,-7.268201427,-5.64862568,-4.009263511,0.801439368,1.007209125,1100
"lor[3,11]",-2.463013688,2.332675607,-6.96035827,-3.777341475,-2.557928753,-1.204530625,2.569202043,1.002106686,1700
"lor[4,11]",-2.670388226,2.820580504,-8.357082207,-4.303403284,-2.688272107,-1.04470527,2.904390308,1.001527494,3000
"lor[5,11]",-3.38530726,2.853524649,-9.054830315,-5.044853674,-3.421061586,-1.764364248,2.49565052,1.005308558,520
"lor[6,11]",-2.168790842,3.467612442,-8.923313573,-4.206028456,-2.253372492,-0.3106791,4.750367936,1.011170136,270
"lor[7,11]",-4.242197942,2.793868549,-9.847394355,-5.875803975,-4.304941742,-2.677445739,1.411893646,1.001609766,2400
"lor[8,11]",-3.886515511,3.179741737,-10.12808696,-5.676508408,-3.988781252,-2.167886157,2.780234808,1.004195049,2700
"lor[9,11]",-3.549985747,2.477705279,-8.439219763,-4.980776394,-3.578674387,-2.194952596,1.665757367,1.003921269,1100
"lor[10,11]",-3.738141969,3.242713977,-10.03118711,-5.635135226,-3.757335867,-1.966824226,2.846790062,1.001173381,3000
resdev[1],2.133411886,2.081517825,0.070724453,0.6635764,1.490251455,2.927972587,8.040144864,1.023210293,110
resdev[2],1.581436117,1.453227217,0.068756934,0.535160597,1.198634028,2.158813809,5.373262111,1.009277041,480
resdev[3],1.836420785,1.840708445,0.053057256,0.516287843,1.285993141,2.533638383,6.529425614,1.014153882,180
resdev[4],1.927025564,1.825977666,0.043412156,0.591027622,1.404667107,2.737268173,6.725786188,1.027657921,100
resdev[5],2.12827262,2.122769811,0.052666238,0.614843418,1.464172923,2.935581996,7.867272801,1.001052746,3000
resdev[6],2.018642288,2.019520699,0.048842903,0.575116742,1.363653656,2.777735297,7.613916777,1.001752472,3000
resdev[7],2.069929859,2.080165622,0.047647662,0.57539658,1.430980477,2.809018191,7.534845484,1.001024655,3000
resdev[8],1.952531141,1.956064736,0.060388783,0.570359913,1.349210457,2.667312999,7.20067781,1.000687101,3000
resdev[9],2.012940166,1.998700733,0.057751943,0.565386779,1.414346446,2.808645678,7.296422299,1.000541067,3000
resdev[10],2.112577186,2.052633053,0.052002911,0.641150235,1.483195184,2.974295052,7.596999715,1.001921547,1400
resdev[11],1.936731152,1.915080722,0.048203566,0.582058662,1.327429894,2.696046996,7.423431742,1.002146554,1200
resdev[12],1.99376845,1.938973238,0.049851732,0.576081811,1.427445375,2.74999154,7.20740152,1.001174121,3000
resdev[13],3.253368048,3.722409835,0.075214065,0.721878694,1.894598093,4.264848256,14.31674291,1.087347386,28
resdev[14],2.014183553,2.027444922,0.047804854,0.601946302,1.409247329,2.774537181,7.256073167,1.000719031,3000
resdev[15],8.183490239,3.975529941,2.234972332,5.24061641,7.575841818,10.52677893,17.48666602,1.000699212,3000
rk[1],7,1.973647634,3,6,7,9,11,1.002890693,840
rk[2],10,1.884097912,4,10,11,11,11,1.023669776,530
rk[3],4,2.192356502,1,2,4,5,9.023737365,1.000591258,3000
rk[4],5,2.305375922,1,3,4,6,10,1.013960351,150
rk[5],6,2.494873682,2,4,6,8,11,1.008918067,320
rk[6],4,2.847259826,1,2,3,6,11,1.013822191,180
rk[7],8,2.241353931,3,7,8,10,11,1.000624609,3000
rk[8],7,3.028720126,1,5,7,10,11,1.0021783,1900
rk[9],6,2.07639231,3,5,6,8,10,1.004391035,720
rk[10],7,3.005952303,1,4,7,9,11,1.001092376,3000
rk[11],2,1.973866269,1,1,1,2,9,1.008092366,290
sdALL,0.978189765,0.876736431,0.030025024,0.358705375,0.758750887,1.327050665,3.347883942,1.008182755,300
sdCC,1.978107671,1.269416901,0.279073642,1.106362107,1.706938586,2.516452716,5.359743144,1.003072008,1100
sdRC,1.37980733,0.799807913,0.572139892,0.866639942,1.168860255,1.612735457,3.471086749,1.000846591,3000
sdRCT,0.947919364,1.105711335,0.061323988,0.271511308,0.564939497,1.169474346,4.327135495,1.003649907,640
totresdev,37.15472905,8.570817097,22.27781521,31.10692927,36.54657402,42.67547891,55.34131001,1.002911342,830
