"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"d[1]",0,0,0,0,0,0,0,1,1
"d[2]",-0.617505562653191,1.16783739813929,-3.00349004847148,-1.29644380541703,-0.619770665977235,0.0448907980180121,1.78871628023744,1.00400924512069,2100
"d[3]",-2.33875415556119,0.563233453509411,-3.49017350583293,-2.64286783332924,-2.33340743098056,-2.03027893645198,-1.26307339272432,1.00537383994413,760
"d[4]",-1.58536058740065,0.814003040036323,-3.17256014830694,-2.05993901282792,-1.54774160425257,-1.12548163892214,-0.014643378861527,1.00056383213138,3000
"d[5]",-1.12057593115577,0.575248904996391,-2.19690070379433,-1.44161969071044,-1.12754910665533,-0.838059566524658,0.131831915276975,1.00151174669967,2000
"d[6]",-1.49818781145843,0.987509218698662,-3.44008938741567,-2.14575155971312,-1.49556929666561,-0.878747538278132,0.506323031964611,1.00170009399447,2200
"d[7]",-1.00353899901252,1.18841078510766,-3.28690035833209,-1.7586273407723,-1.02920926923409,-0.26945396505781,1.4136300552643,1.00119245671026,2900
"d[8]",-1.35555798656134,1.03146545811221,-3.37375560969889,-2.01489015907426,-1.3448298722885,-0.689423551350023,0.623138819193291,1.00123042241711,2700
"d[9]",-1.1752950928629,1.0190553998098,-3.17175888858423,-1.8348437326825,-1.19450673463702,-0.501596282349485,0.864026887975833,1.00195670166502,1400
"d[10]",-1.19959490778383,0.582862616308609,-2.28349864284918,-1.52523556841768,-1.22942485164885,-0.877930123834665,-0.0450834335675076,1.00270291708716,3000
"d[11]",-1.17696488174089,1.12573360342135,-3.49605323350873,-1.8745266882396,-1.15692526906448,-0.472287638326459,1.01856007948312,1.00050656928136,3000
"d[12]",-0.548076514895871,0.749418501184802,-2.08595074961843,-0.962788099921027,-0.553908447615615,-0.100522731087065,0.964060934906267,1.00090860802958,3000
"d[13]",-0.335188245571753,1.31697489713309,-2.90986850844613,-1.16861678885941,-0.361278261212651,0.562758884668718,2.2331614983878,1.00163568175847,1800
"d[14]",-3.03871156047164,2.85498394284562,-8.77749102737015,-4.83144995418087,-3.00790645838127,-1.24998503875511,2.57244681088113,1.00113634461338,3000
"d[15]",-1.44313851774119,1.53347932628826,-4.53856666368097,-2.01411055995154,-1.43791515848418,-0.924009506129353,1.50366445274625,1.00218027993434,1700
"d[16]",-0.894363107681784,1.43393779899071,-3.79784891530898,-1.39494968814654,-0.908205129551457,-0.424158187714839,2.12371231737616,1.00194414536838,3000
"d[17]",-1.52238239500435,1.13815375457071,-3.72194411880793,-2.22982164698186,-1.53778207263336,-0.799562568150827,0.708342861077867,1.00089949947347,3000
"d[18]",-1.75802864829012,1.12317286637817,-3.94463522323471,-2.46691093991948,-1.77146709205732,-1.02108505446194,0.409813949389932,1.00051874846888,3000
"d[19]",-1.21820515574461,1.09926182397768,-3.35266495886639,-1.90219120994374,-1.2341885645079,-0.5178794724398,0.935600464597961,1.00079570956789,3000
"d[20]",-1.74341115802951,1.05406432000322,-3.88372056494226,-2.40239200236247,-1.75535895434646,-1.06954268450036,0.327838521191147,1.00194142290847,1400
"d[21]",-2.2644617814974,0.999405766585202,-4.16136377899622,-2.8465182445166,-2.25335989242751,-1.65249756955846,-0.311082569211499,1.00257731040549,1500
"d[22]",-1.91832307589338,1.10509272776342,-4.04938210921247,-2.65450868717538,-1.90680695552547,-1.20593286794599,0.215162374893887,1.00176479371842,1600
"deviance",730.337167725192,28.1531608352865,695.345773190867,712.220226538401,723.380907942717,739.079986101625,813.257754753189,1.0103884784147,1800
"lor[1,2]",-0.617505562653191,1.16783739813929,-3.00349004847148,-1.29644380541703,-0.619770665977235,0.0448907980180121,1.78871628023744,1.00400924512069,2100
"lor[1,3]",-2.33875415556119,0.563233453509411,-3.49017350583293,-2.64286783332924,-2.33340743098056,-2.03027893645198,-1.26307339272432,1.00537383994413,760
"lor[2,3]",-1.721248592908,1.25188881824445,-4.26747771180006,-2.43110734978177,-1.70881562851656,-0.951374644662935,0.754404658520072,1.00415363890462,1100
"lor[1,4]",-1.58536058740065,0.814003040036323,-3.17256014830694,-2.05993901282792,-1.54774160425257,-1.12548163892214,-0.014643378861527,1.00056383213138,3000
"lor[2,4]",-0.967855024747456,1.40186490154705,-3.78385896525322,-1.80469909632393,-0.960117517462759,-0.115123676995282,1.66790271548268,1.00417509027457,3000
"lor[3,4]",0.753393568160542,0.965197828437252,-1.1182791926574,0.215923643434471,0.767702682817063,1.2978086389003,2.69862139474943,1.00185818810074,1500
"lor[1,5]",-1.12057593115577,0.575248904996391,-2.19690070379433,-1.44161969071044,-1.12754910665533,-0.838059566524658,0.131831915276975,1.00151174669967,2000
"lor[2,5]",-0.503070368502582,1.19592237485606,-2.94639174447575,-1.184772694939,-0.513855085269469,0.198028365292784,1.96604555086034,1.00179862973758,3000
"lor[3,5]",1.21817822440542,0.76675052618045,-0.153073317060275,0.783952613333881,1.19057713686179,1.59821835889804,2.96315045256047,1.00420341459329,630
"lor[4,5]",0.464784656244873,0.959835892183653,-1.25947364808346,-0.13115495859948,0.435597353264883,1.00374308595805,2.41372699620483,1.00073033586216,3000
"lor[1,6]",-1.49818781145843,0.987509218698662,-3.44008938741567,-2.14575155971312,-1.49556929666561,-0.878747538278132,0.506323031964611,1.00170009399447,2200
"lor[2,6]",-0.880682248805235,1.32631069995191,-3.47828518949683,-1.63858432118699,-0.884399576449336,-0.0815522798852831,1.77852594763387,1.00071130856191,3000
"lor[3,6]",0.840566344102763,1.09508974759087,-1.31424617186997,0.15168608071339,0.824031963199537,1.51075286341857,3.06881447172007,1.00308384250738,780
"lor[4,6]",0.087172775942221,1.22834018913049,-2.23900329002916,-0.737723129865256,0.0925349918767561,0.863206582128064,2.55855786945575,1.0009152114184,3000
"lor[5,6]",-0.377611880302652,1.06611472149535,-2.50773856100859,-1.05191919920395,-0.375653540989239,0.303870558499099,1.68130400444959,1.00063664798569,3000
"lor[1,7]",-1.00353899901252,1.18841078510766,-3.28690035833209,-1.7586273407723,-1.02920926923409,-0.26945396505781,1.4136300552643,1.00119245671026,2900
"lor[2,7]",-0.386033436359324,1.55092460067975,-3.47895978256466,-1.3326406529986,-0.437186981043042,0.607453183121997,2.63082065979441,1.00176194288127,1600
"lor[3,7]",1.33521515654867,1.30938498533422,-1.18867100702525,0.479378147076989,1.3163907536165,2.17287939604055,3.96304396105906,1.00050124440849,3000
"lor[4,7]",0.581821588388131,1.43738618886304,-2.17190752533666,-0.353406059354738,0.576024692164376,1.48852461995108,3.45785826425766,1.00119420736344,2900
"lor[5,7]",0.117036932143258,1.29385999221471,-2.49243249527515,-0.7035687511387,0.110405323198674,0.95988750868319,2.7109710665874,1.00173649359535,1600
"lor[6,7]",0.49464881244591,1.48023173065773,-2.52781503546249,-0.445745414817473,0.468112380813364,1.46503070235152,3.56006820592279,1.00203666897173,1300
"lor[1,8]",-1.35555798656134,1.03146545811221,-3.37375560969889,-2.01489015907426,-1.3448298722885,-0.689423551350023,0.623138819193291,1.00123042241711,2700
"lor[2,8]",-0.738052423908153,1.40893803315911,-3.60038863070162,-1.5601389023888,-0.731702937938925,0.0999692004317232,1.97916903916133,1.00099005886604,3000
"lor[3,8]",0.983196168999845,1.1430786691657,-1.18207865840984,0.265462783026021,0.998647077908834,1.68726384081634,3.28911158295706,1.00096878234672,3000
"lor[4,8]",0.229802600839303,1.29257957382457,-2.22883602659435,-0.567124747089899,0.215834756658976,1.01374358501635,2.79624211693002,1.00111906657874,3000
"lor[5,8]",-0.234982055405571,1.10544082529105,-2.44682345225713,-0.917336258910409,-0.207341913798592,0.470635334776577,1.94203019634986,1.00124355772658,2700
"lor[6,8]",0.142629824897082,1.26854636388648,-2.30202988759146,-0.71708947688474,0.13267599998255,0.954856061222431,2.65231358325194,1.00152940371684,1900
"lor[7,8]",-0.352018987548829,1.52429840509292,-3.40276392572805,-1.35795217289731,-0.350126570728493,0.673911955403803,2.66234117407594,1.0007997825925,3000
"lor[1,9]",-1.1752950928629,1.0190553998098,-3.17175888858423,-1.8348437326825,-1.19450673463702,-0.501596282349485,0.864026887975833,1.00195670166502,1400
"lor[2,9]",-0.55778953020971,1.40386113590858,-3.35501914660379,-1.40460715832302,-0.517914756899709,0.351934051360876,2.15437060692713,1.00064222444084,3000
"lor[3,9]",1.16345906269829,1.13076712525328,-1.01937241212075,0.445626584172294,1.12634401354135,1.85759674980334,3.4288616209809,1.0040400796455,650
"lor[4,9]",0.410065494537746,1.28241496503302,-2.1209440377022,-0.396431290364138,0.383983362420513,1.23679521767441,2.91387963490208,1.00121741436202,2800
"lor[5,9]",-0.0547191617071275,1.11442154834808,-2.26998995686543,-0.748774966836146,-0.0644961879275883,0.644105924232505,2.18240771212747,1.00084204135836,3000
"lor[6,9]",0.322892718595525,1.2790346912437,-2.22555091547551,-0.468897608027371,0.343093757244934,1.13347719646124,2.7631319163688,1.00055537413248,3000
